#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9484130.1         -            159 14674at5820          -            109   7.5e-39  130.7  24.6   1   3   9.9e-08   7.5e-05   21.3   0.4     1    23     1    23     1    29 0.94 | transcript=PVW1_020018300_t1 | gene=PVW1_020018300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:586635-587592(-) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484130.1         -            159 14674at5820          -            109   7.5e-39  130.7  24.6   2   3     1e-23   7.7e-21   72.7   7.1    17    72    40   102    34   112 0.87 | transcript=PVW1_020018300_t1 | gene=PVW1_020018300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:586635-587592(-) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484130.1         -            159 14674at5820          -            109   7.5e-39  130.7  24.6   3   3   9.6e-16   7.3e-13   47.1   4.4    56   109   106   159   101   159 0.84 | transcript=PVW1_020018300_t1 | gene=PVW1_020018300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:586635-587592(-) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 14674at5820          -            109   2.1e-11   42.4  44.2   1   7     0.018        14    4.3   0.7    29    43  1530  1544  1517  1562 0.80 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 14674at5820          -            109   2.1e-11   42.4  44.2   2   7   8.2e-06    0.0062   15.1   0.3    29    55  1603  1629  1596  1635 0.87 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 14674at5820          -            109   2.1e-11   42.4  44.2   3   7   4.1e-06    0.0031   16.1   2.7    27    71  1671  1722  1666  1730 0.71 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 14674at5820          -            109   2.1e-11   42.4  44.2   4   7      0.67   5.1e+02   -0.7   2.5    30    45  1730  1745  1728  1754 0.79 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 14674at5820          -            109   2.1e-11   42.4  44.2   5   7   7.8e-08     6e-05   21.6   0.5    30    56  1821  1847  1818  1865 0.89 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 14674at5820          -            109   2.1e-11   42.4  44.2   6   7      0.42   3.2e+02   -0.1   0.3    30    47  1881  1898  1877  1921 0.81 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 14674at5820          -            109   2.1e-11   42.4  44.2   7   7    0.0002      0.15   10.6   0.3    31    47  1964  1980  1961  1993 0.78 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479320.1         -            368 14674at5820          -            109   6.1e-06   24.8   0.0   1   1   1.3e-08   9.9e-06   24.1   0.0    35    74   301   344   292   367 0.77 | transcript=PVW1_080041300_t1 | gene=PVW1_080041300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1562493-1563599(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477967.1         -           1460 14674at5820          -            109   0.00013   20.5   0.3   1   2   1.7e-07   0.00013   20.5   0.3    14    53   245   285   233   296 0.71 | transcript=PVW1_110038400_t1 | gene=PVW1_110038400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1423938-1428320(-) | protein_length=1460 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477967.1         -           1460 14674at5820          -            109   0.00013   20.5   0.3   2   2       6.1   4.6e+03   -3.8   0.2    57    78   545   566   542   568 0.82 | transcript=PVW1_110038400_t1 | gene=PVW1_110038400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1423938-1428320(-) | protein_length=1460 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472249.1         -            340 14674at5820          -            109    0.0011   17.5   1.7   1   1   5.5e-06    0.0042   15.6   1.7    32    72   234   279   223   323 0.64 | transcript=PVW1_140043000_t1 | gene=PVW1_140043000 | organism=Plasmodium_vivax_PvW1 | gene_product=Thrombospondin-related apical membrane protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z4] | transcript_product=Thrombospondin-related apical membrane protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z4] | location=CAJZCX010000003:1604067-1605089(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473334.1         -            556 14674at5820          -            109     0.002   16.7   1.2   1   1   5.6e-06    0.0042   15.6   1.2    28    61   237   269   220   282 0.76 | transcript=PVW1_120033200_t1 | gene=PVW1_120033200 | organism=Plasmodium_vivax_PvW1 | gene_product=VWFA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A0A0R856] | transcript_product=VWFA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A0A0R856] | location=CAJZCX010000004:1237474-1239144(+) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479728.1         -            691 14674at5820          -            109    0.0092   14.5   0.9   1   3      0.92     7e+02   -1.2   0.4    56    89   167   200   151   209 0.75 | transcript=PVW1_050016600_t1 | gene=PVW1_050016600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:531584-533659(+) | protein_length=691 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479728.1         -            691 14674at5820          -            109    0.0092   14.5   0.9   2   3   1.2e-05    0.0092   14.5   0.9    30    45   332   347   321   383 0.82 | transcript=PVW1_050016600_t1 | gene=PVW1_050016600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:531584-533659(+) | protein_length=691 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479728.1         -            691 14674at5820          -            109    0.0092   14.5   0.9   3   3       2.4   1.8e+03   -2.5   0.0    82    94   578   591   558   605 0.44 | transcript=PVW1_050016600_t1 | gene=PVW1_050016600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:531584-533659(+) | protein_length=691 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481638.1         -            387 14674at5820          -            109      0.41    9.2  16.0   1   2   4.4e-05     0.033   12.7   4.7     2    62     2    62     1    63 0.86 | transcript=PVW1_060020200_t1 | gene=PVW1_060020200 | organism=Plasmodium_vivax_PvW1 | gene_product=Merozoite TRAP-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Q6] | transcript_product=Merozoite TRAP-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Q6] | location=CAJZCX010000012:650978-652141(+) | protein_length=387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481638.1         -            387 14674at5820          -            109      0.41    9.2  16.0   2   2      0.16   1.2e+02    1.3   4.9    29    42    62    75    61   110 0.81 | transcript=PVW1_060020200_t1 | gene=PVW1_060020200 | organism=Plasmodium_vivax_PvW1 | gene_product=Merozoite TRAP-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Q6] | transcript_product=Merozoite TRAP-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Q6] | location=CAJZCX010000012:650978-652141(+) | protein_length=387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14674at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14674at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14674at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:05 2026
# [ok]
