#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477859.1         -            185 13550at5820          -            150   1.7e-85  282.9  12.3   1   1     1e-87   7.7e-85  280.8  12.3     1   150    22   185    22   185 0.93 | transcript=PVW1_110030800_t1 | gene=PVW1_110030800 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW_WPC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZY0] | transcript_product=CPW_WPC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZY0] | location=CAJZCX010000008:1129484-1131250(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479067.1         -            575 13550at5820          -            150     3e-20   71.1  42.6   1   5   0.00015      0.11   10.8   3.9    45   127   201   285   164   298 0.73 | transcript=PVW1_080025400_t1 | gene=PVW1_080025400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:935586-937313(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479067.1         -            575 13550at5820          -            150     3e-20   71.1  42.6   2   5   0.00031      0.23    9.8   4.6    79   132   298   357   286   359 0.82 | transcript=PVW1_080025400_t1 | gene=PVW1_080025400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:935586-937313(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479067.1         -            575 13550at5820          -            150     3e-20   71.1  42.6   3   5   4.3e-09   3.2e-06   25.6   4.0    74   130   359   416   356   418 0.93 | transcript=PVW1_080025400_t1 | gene=PVW1_080025400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:935586-937313(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479067.1         -            575 13550at5820          -            150     3e-20   71.1  42.6   4   5   4.9e-09   3.7e-06   25.4   3.7    71   131   417   479   415   481 0.88 | transcript=PVW1_080025400_t1 | gene=PVW1_080025400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:935586-937313(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479067.1         -            575 13550at5820          -            150     3e-20   71.1  42.6   5   5   1.7e-07   0.00013   20.4   0.8    73   143   481   556   478   560 0.82 | transcript=PVW1_080025400_t1 | gene=PVW1_080025400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:935586-937313(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475760.1         -            378 13550at5820          -            150   2.4e-19   68.2  22.8   1   5   6.2e-06    0.0047   15.3   0.5    73   131    34    93    27    96 0.76 | transcript=PVW1_130027200_t1 | gene=PVW1_130027200 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | location=CAJZCX010000006:996469-999981(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475760.1         -            378 13550at5820          -            150   2.4e-19   68.2  22.8   2   5   1.4e-07   0.00011   20.7   3.6    71   129    93   152    90   156 0.93 | transcript=PVW1_130027200_t1 | gene=PVW1_130027200 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | location=CAJZCX010000006:996469-999981(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475760.1         -            378 13550at5820          -            150   2.4e-19   68.2  22.8   3   5   6.3e-07   0.00048   18.5   1.0    71   128   154   212   151   218 0.91 | transcript=PVW1_130027200_t1 | gene=PVW1_130027200 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | location=CAJZCX010000006:996469-999981(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475760.1         -            378 13550at5820          -            150   2.4e-19   68.2  22.8   4   5      0.16   1.2e+02    1.0   0.1    75   127   219   278   214   281 0.61 | transcript=PVW1_130027200_t1 | gene=PVW1_130027200 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | location=CAJZCX010000006:996469-999981(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475760.1         -            378 13550at5820          -            150   2.4e-19   68.2  22.8   5   5   5.4e-09   4.1e-06   25.2   0.3    74   129   286   341   278   347 0.90 | transcript=PVW1_130027200_t1 | gene=PVW1_130027200 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | location=CAJZCX010000006:996469-999981(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
