#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472530.1         -            309 10037at5820          -            262  2.5e-129  428.7  29.9   1   2   4.6e-14   3.5e-11   41.5   0.1     1    34     1    34     1    37 0.95 | transcript=PVW1_140069400_t1 | gene=PVW1_140069400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2774734-2775663(+) | protein_length=309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472530.1         -            309 10037at5820          -            262  2.5e-129  428.7  29.9   2   2  4.9e-120  3.7e-117  388.8  26.2    32   255    53   288    42   305 0.94 | transcript=PVW1_140069400_t1 | gene=PVW1_140069400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2774734-2775663(+) | protein_length=309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478831.1         -            188 10037at5820          -            262   4.7e-09   34.5   4.0   1   1   7.1e-12   5.4e-09   34.3   4.0    30   135    59   162    18   172 0.76 | transcript=PVW1_080015900_t1 | gene=PVW1_080015900 | organism=Plasmodium_vivax_PvW1 | gene_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | transcript_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | location=CAJZCX010000009:520383-522129(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477220.1         -            584 10037at5820          -            262   1.3e-05   23.2   6.2   1   2   1.7e-08   1.3e-05   23.2   6.2    20    99    39   115    25   179 0.77 | transcript=PVW1_090047900_t1 | gene=PVW1_090047900 | organism=Plasmodium_vivax_PvW1 | gene_product=Methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVC3] | transcript_product=Methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVC3] | location=CAJZCX010000007:1924664-1926418(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477220.1         -            584 10037at5820          -            262   1.3e-05   23.2   6.2   2   2      0.48   3.6e+02   -1.2   0.0   210   240   217   247   203   262 0.52 | transcript=PVW1_090047900_t1 | gene=PVW1_090047900 | organism=Plasmodium_vivax_PvW1 | gene_product=Methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVC3] | transcript_product=Methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVC3] | location=CAJZCX010000007:1924664-1926418(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477808.1         -           1848 10037at5820          -            262     2e-05   22.6  10.3   1   5         8   6.1e+03  -10.9  13.8    61   172   133   246   123   261 0.56 | transcript=PVW1_110028000_t1 | gene=PVW1_110028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1016586-1022132(-) | protein_length=1848 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477808.1         -           1848 10037at5820          -            262     2e-05   22.6  10.3   2   5       0.2   1.5e+02    0.1   0.5    87   128  1124  1169  1111  1203 0.74 | transcript=PVW1_110028000_t1 | gene=PVW1_110028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1016586-1022132(-) | protein_length=1848 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477808.1         -           1848 10037at5820          -            262     2e-05   22.6  10.3   3   5    0.0035       2.7    5.8   5.8    50   181  1457  1594  1447  1611 0.78 | transcript=PVW1_110028000_t1 | gene=PVW1_110028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1016586-1022132(-) | protein_length=1848 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477808.1         -           1848 10037at5820          -            262     2e-05   22.6  10.3   4   5   2.7e-08     2e-05   22.6  10.3    34   127  1612  1706  1596  1712 0.79 | transcript=PVW1_110028000_t1 | gene=PVW1_110028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1016586-1022132(-) | protein_length=1848 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477808.1         -           1848 10037at5820          -            262     2e-05   22.6  10.3   5   5   3.4e-06    0.0026   15.7   1.9    78   166  1690  1784  1688  1798 0.68 | transcript=PVW1_110028000_t1 | gene=PVW1_110028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1016586-1022132(-) | protein_length=1848 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475877.1         -            708 10037at5820          -            262   6.9e-05   20.8   0.1   1   1   1.6e-07   0.00012   20.0   0.1    48   141   420   515   386   604 0.77 | transcript=PVW1_130032400_t1 | gene=PVW1_130032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1210572-1212698(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
