#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479723.1         -           1040 1452at5820           -            579  4.5e-183  608.1 135.0   1   8   3.3e-11     5e-08   30.2  15.8     1    73     1    99     1   113 0.66 | transcript=PVW1_050016400_t1 | gene=PVW1_050016400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:525075-528197(+) | protein_length=1040 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479723.1         -           1040 1452at5820           -            579  4.5e-183  608.1 135.0   2   8    0.0019       2.8    4.6  15.6    69   115   120   169   103   191 0.76 | transcript=PVW1_050016400_t1 | gene=PVW1_050016400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:525075-528197(+) | protein_length=1040 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479723.1         -           1040 1452at5820           -            579  4.5e-183  608.1 135.0   3   8   7.3e-12   1.1e-08   32.3   6.0    79   158   217   302   200   329 0.68 | transcript=PVW1_050016400_t1 | gene=PVW1_050016400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:525075-528197(+) | protein_length=1040 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479723.1         -           1040 1452at5820           -            579  4.5e-183  608.1 135.0   4   8     6e-08   9.1e-05   19.4   0.6   143   169   330   356   315   359 0.91 | transcript=PVW1_050016400_t1 | gene=PVW1_050016400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:525075-528197(+) | protein_length=1040 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479723.1         -           1040 1452at5820           -            579  4.5e-183  608.1 135.0   5   8   4.5e-07   0.00068   16.5   6.4   167   222   404   473   398   493 0.66 | transcript=PVW1_050016400_t1 | gene=PVW1_050016400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:525075-528197(+) | protein_length=1040 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479723.1         -           1040 1452at5820           -            579  4.5e-183  608.1 135.0   6   8   1.4e-33   2.1e-30  104.1   3.8   208   307   500   600   488   605 0.90 | transcript=PVW1_050016400_t1 | gene=PVW1_050016400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:525075-528197(+) | protein_length=1040 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479723.1         -           1040 1452at5820           -            579  4.5e-183  608.1 135.0   7   8   4.6e-59   6.9e-56  188.2  29.6   266   449   598   823   593   836 0.84 | transcript=PVW1_050016400_t1 | gene=PVW1_050016400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:525075-528197(+) | protein_length=1040 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479723.1         -           1040 1452at5820           -            579  4.5e-183  608.1 135.0   8   8   2.4e-77   3.6e-74  248.5   5.0   442   579   898  1040   889  1040 0.94 | transcript=PVW1_050016400_t1 | gene=PVW1_050016400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:525075-528197(+) | protein_length=1040 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475019.1         -            143 1452at5820           -            579     0.028   11.2  16.5   1   1     2e-05      0.03   11.1  16.5    32   114    43   130    34   143 0.44 | transcript=PVW1_100048700_t1 | gene=PVW1_100048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1989656-1990346(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474786.1         -            667 1452at5820           -            579       2.8    4.6  22.1   1   2      0.01        15    2.1  23.2    49   158    49   155    35   170 0.65 | transcript=PVW1_100029800_t1 | gene=PVW1_100029800 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | transcript_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | location=CAJZCX010000005:1177217-1179220(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474786.1         -            667 1452at5820           -            579       2.8    4.6  22.1   2   2      0.45   6.8e+02   -3.3   0.0   362   383   361   382   358   389 0.87 | transcript=PVW1_100029800_t1 | gene=PVW1_100029800 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | transcript_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | location=CAJZCX010000005:1177217-1179220(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473460.1         -            822 1452at5820           -            579       4.2    4.0   9.5   1   2   0.00047      0.71    6.5   1.7    37   103   479   543   463   563 0.61 | transcript=PVW1_120043100_t1 | gene=PVW1_120043100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1600726-1603459(-) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473460.1         -            822 1452at5820           -            579       4.2    4.0   9.5   2   2     0.015        22    1.6   1.2    49    87   590   628   583   635 0.69 | transcript=PVW1_120043100_t1 | gene=PVW1_120043100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1600726-1603459(-) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1452at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1452at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1452at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:42 2026
# [ok]
