#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477701.1         -            479 5343at5820           -            436  1.4e-284  941.9  17.4   1   1  2.4e-287  1.7e-284  941.7  17.4     1   436     7   472     7   472 0.97 | transcript=PVW1_110020800_t1 | gene=PVW1_110020800 | organism=Plasmodium_vivax_PvW1 | gene_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | transcript_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | location=CAJZCX010000008:686394-687833(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 5343at5820           -            436     1e-22   79.1  17.0   1   6      0.51   3.4e+02   -1.8   0.0    62   101    68   113    32   120 0.68 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 5343at5820           -            436     1e-22   79.1  17.0   2   6   6.8e-05     0.046   11.0   0.0   115   164   238   292   229   296 0.80 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 5343at5820           -            436     1e-22   79.1  17.0   3   6     2e-09   1.3e-06   26.0   0.7    82   155   336   414   315   423 0.71 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 5343at5820           -            436     1e-22   79.1  17.0   4   6   3.8e-11   2.5e-08   31.6   0.2    64   146   628   716   612   753 0.84 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 5343at5820           -            436     1e-22   79.1  17.0   5   6   0.00053      0.36    8.1   0.0   238   313   774   847   770   851 0.74 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 5343at5820           -            436     1e-22   79.1  17.0   6   6   0.00031      0.21    8.8   0.1   198   257   895   958   870  1023 0.62 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477158.1         -            453 5343at5820           -            436   9.7e-18   62.7  15.5   1   4   5.2e-08   3.5e-05   21.3   0.2    53   141    90   184    67   199 0.58 | transcript=PVW1_090042900_t1 | gene=PVW1_090042900 | organism=Plasmodium_vivax_PvW1 | gene_product=UVB-resistance protein UVR8 homologue [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXZ6] | transcript_product=UVB-resistance protein UVR8 homologue [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXZ6] | location=CAJZCX010000007:1660904-1662265(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477158.1         -            453 5343at5820           -            436   9.7e-18   62.7  15.5   2   4   1.2e-10   8.1e-08   30.0   0.6    67   146   217   302   195   311 0.79 | transcript=PVW1_090042900_t1 | gene=PVW1_090042900 | organism=Plasmodium_vivax_PvW1 | gene_product=UVB-resistance protein UVR8 homologue [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXZ6] | transcript_product=UVB-resistance protein UVR8 homologue [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXZ6] | location=CAJZCX010000007:1660904-1662265(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477158.1         -            453 5343at5820           -            436   9.7e-18   62.7  15.5   3   4   8.3e-11   5.6e-08   30.5   1.1    65   141   269   356   268   372 0.81 | transcript=PVW1_090042900_t1 | gene=PVW1_090042900 | organism=Plasmodium_vivax_PvW1 | gene_product=UVB-resistance protein UVR8 homologue [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXZ6] | transcript_product=UVB-resistance protein UVR8 homologue [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXZ6] | location=CAJZCX010000007:1660904-1662265(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477158.1         -            453 5343at5820           -            436   9.7e-18   62.7  15.5   4   4    0.0017       1.1    6.4   0.5   114   146   377   411   364   429 0.67 | transcript=PVW1_090042900_t1 | gene=PVW1_090042900 | organism=Plasmodium_vivax_PvW1 | gene_product=UVB-resistance protein UVR8 homologue [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXZ6] | transcript_product=UVB-resistance protein UVR8 homologue [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXZ6] | location=CAJZCX010000007:1660904-1662265(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
