#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473271.1         -            897 3113at5820           -            540  2.1e-247  820.4   9.2   1   4   1.4e-05    0.0025   14.9   0.2     1    32     1    32     1    43 0.91 | transcript=PVW1_120030300_t1 | gene=PVW1_120030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1128427-1131120(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473271.1         -            897 3113at5820           -            540  2.1e-247  820.4   9.2   2   4   5.9e-18   1.1e-15   55.7   0.0    54   126   230   330   226   346 0.79 | transcript=PVW1_120030300_t1 | gene=PVW1_120030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1128427-1131120(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473271.1         -            897 3113at5820           -            540  2.1e-247  820.4   9.2   3   4  5.9e-205  1.1e-202  672.9   2.2   121   489   362   765   360   768 0.92 | transcript=PVW1_120030300_t1 | gene=PVW1_120030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1128427-1131120(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473271.1         -            897 3113at5820           -            540  2.1e-247  820.4   9.2   4   4     1e-24   1.8e-22   78.0   0.0   489   540   842   896   832   896 0.94 | transcript=PVW1_120030300_t1 | gene=PVW1_120030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1128427-1131120(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471974.1         -            341 3113at5820           -            540   1.2e-16   58.8   0.7   1   1   5.9e-18   1.1e-15   55.7   0.7   139   378    20   232     8   245 0.80 | transcript=PVW1_140023200_t1 | gene=PVW1_140023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | location=CAJZCX010000003:799856-802773(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479886.1         -           1619 3113at5820           -            540   7.6e-14   49.6   3.2   1   2   4.5e-06   0.00081   16.5   0.7   134   209   636   709   624   717 0.82 | transcript=PVW1_050027000_t1 | gene=PVW1_050027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:917091-922076(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479886.1         -           1619 3113at5820           -            540   7.6e-14   49.6   3.2   2   2   4.1e-11   7.4e-09   33.1   0.1   278   435   914  1057   905  1076 0.82 | transcript=PVW1_050027000_t1 | gene=PVW1_050027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:917091-922076(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471965.1         -            368 3113at5820           -            540   8.4e-13   46.1   5.6   1   2     0.014       2.6    4.9   1.2   148   209   107   172    91   208 0.64 | transcript=PVW1_140022300_t1 | gene=PVW1_140022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | location=CAJZCX010000003:767187-768293(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471965.1         -            368 3113at5820           -            540   8.4e-13   46.1   5.6   2   2   4.3e-14   7.6e-12   43.0   0.3   279   376   210   301   199   338 0.87 | transcript=PVW1_140022300_t1 | gene=PVW1_140022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | location=CAJZCX010000003:767187-768293(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475709.1         -            722 3113at5820           -            540   8.5e-13   46.1   1.5   1   3   2.3e-05    0.0042   14.1   0.4   148   220    19    88     8   103 0.84 | transcript=PVW1_130025000_t1 | gene=PVW1_130025000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:917366-919534(+) | protein_length=722 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475709.1         -            722 3113at5820           -            540   8.5e-13   46.1   1.5   2   3   5.9e-09   1.1e-06   26.0   0.0   278   380   120   220   102   236 0.82 | transcript=PVW1_130025000_t1 | gene=PVW1_130025000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:917366-919534(+) | protein_length=722 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475709.1         -            722 3113at5820           -            540   8.5e-13   46.1   1.5   3   3     0.043       7.8    3.3   0.0   510   534   278   302   227   310 0.81 | transcript=PVW1_130025000_t1 | gene=PVW1_130025000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:917366-919534(+) | protein_length=722 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473960.1         -           1526 3113at5820           -            540   1.7e-12   45.1   3.1   1   3       8.3   1.5e+03   -4.2   3.2   446   471   517   542   478   597 0.53 | transcript=PVW1_120077400_t1 | gene=PVW1_120077400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3037523-3042254(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473960.1         -           1526 3113at5820           -            540   1.7e-12   45.1   3.1   2   3   9.5e-15   1.7e-12   45.1   3.1   278   459   622   797   617   821 0.82 | transcript=PVW1_120077400_t1 | gene=PVW1_120077400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3037523-3042254(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473960.1         -           1526 3113at5820           -            540   1.7e-12   45.1   3.1   3   3       1.8   3.3e+02   -2.0   0.0   299   312   890   903   881   943 0.83 | transcript=PVW1_120077400_t1 | gene=PVW1_120077400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3037523-3042254(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
