#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472400.1         -            775 2989at5820           -            649         0 1306.8  27.7   1   2  8.6e-152  3.3e-149  496.7   4.5     1   266    38   339    38   343 0.94 | transcript=PVW1_140057500_t1 | gene=PVW1_140057500 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | transcript_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | location=CAJZCX010000003:2285118-2287445(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472400.1         -            775 2989at5820           -            649         0 1306.8  27.7   2   2  7.3e-246  2.8e-243  807.5  15.3   270   648   387   772   380   773 0.98 | transcript=PVW1_140057500_t1 | gene=PVW1_140057500 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | transcript_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | location=CAJZCX010000003:2285118-2287445(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478250.1         -            917 2989at5820           -            649  2.4e-117  391.4  27.9   1   3   2.4e-66     9e-64  214.4   5.5     2   262    97   383    96   396 0.82 | transcript=PVW1_110052400_t1 | gene=PVW1_110052400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:2007264-2010508(+) | protein_length=917 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478250.1         -            917 2989at5820           -            649  2.4e-117  391.4  27.9   2   3   7.8e-34   2.9e-31  106.9   6.4   267   475   471   684   436   695 0.88 | transcript=PVW1_110052400_t1 | gene=PVW1_110052400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:2007264-2010508(+) | protein_length=917 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478250.1         -            917 2989at5820           -            649  2.4e-117  391.4  27.9   3   3   5.2e-26     2e-23   81.1   1.0   478   648   742   913   734   914 0.94 | transcript=PVW1_110052400_t1 | gene=PVW1_110052400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:2007264-2010508(+) | protein_length=917 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472429.1         -           1101 2989at5820           -            649   2.1e-40  137.2   9.3   1   5   1.4e-32   5.5e-30  102.8   0.1     3   189    24   208    22   231 0.88 | transcript=PVW1_140059900_t1 | gene=PVW1_140059900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2399220-2402525(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472429.1         -           1101 2989at5820           -            649   2.1e-40  137.2   9.3   2   5   3.9e-06    0.0015   15.4   0.0   191   250   285   350   273   368 0.84 | transcript=PVW1_140059900_t1 | gene=PVW1_140059900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2399220-2402525(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472429.1         -           1101 2989at5820           -            649   2.1e-40  137.2   9.3   3   5    0.0032       1.2    5.8   0.1   270   344   448   522   442   533 0.86 | transcript=PVW1_140059900_t1 | gene=PVW1_140059900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2399220-2402525(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472429.1         -           1101 2989at5820           -            649   2.1e-40  137.2   9.3   4   5    0.0017      0.64    6.7   0.5   368   455   647   738   637   782 0.76 | transcript=PVW1_140059900_t1 | gene=PVW1_140059900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2399220-2402525(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472429.1         -           1101 2989at5820           -            649   2.1e-40  137.2   9.3   5   5    0.0007      0.27    8.0   0.1   505   638   961  1099   939  1101 0.72 | transcript=PVW1_140059900_t1 | gene=PVW1_140059900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2399220-2402525(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473830.1         -            832 2989at5820           -            649   1.7e-36  124.2   0.7   1   3   1.6e-21   6.1e-19   66.2   0.9     3   148    18   168    16   191 0.82 | transcript=PVW1_120070700_t1 | gene=PVW1_120070700 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | location=CAJZCX010000004:2761777-2764275(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473830.1         -            832 2989at5820           -            649   1.7e-36  124.2   0.7   2   3   5.6e-13   2.1e-10   38.0   0.1   315   452   421   564   411   596 0.76 | transcript=PVW1_120070700_t1 | gene=PVW1_120070700 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | location=CAJZCX010000004:2761777-2764275(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473830.1         -            832 2989at5820           -            649   1.7e-36  124.2   0.7   3   3     3e-06    0.0012   15.8   0.0   558   628   711   783   655   800 0.88 | transcript=PVW1_120070700_t1 | gene=PVW1_120070700 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | location=CAJZCX010000004:2761777-2764275(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480425.1         -            910 2989at5820           -            649   8.1e-35  118.7  10.6   1   3   3.3e-30   1.2e-27   95.0   0.2     2   142   189   323   188   365 0.88 | transcript=PVW1_070016700_t1 | gene=PVW1_070016700 | organism=Plasmodium_vivax_PvW1 | gene_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | transcript_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | location=CAJZCX010000011:601498-604230(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480425.1         -            910 2989at5820           -            649   8.1e-35  118.7  10.6   2   3    0.0002     0.076    9.8   0.1   361   432   520   594   373   612 0.71 | transcript=PVW1_070016700_t1 | gene=PVW1_070016700 | organism=Plasmodium_vivax_PvW1 | gene_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | transcript_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | location=CAJZCX010000011:601498-604230(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480425.1         -            910 2989at5820           -            649   8.1e-35  118.7  10.6   3   3   2.8e-07   0.00011   19.2   1.5   554   647   704   796   692   798 0.84 | transcript=PVW1_070016700_t1 | gene=PVW1_070016700 | organism=Plasmodium_vivax_PvW1 | gene_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | transcript_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | location=CAJZCX010000011:601498-604230(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472124.1         -            771 2989at5820           -            649   1.2e-26   91.7   9.3   1   3   1.2e-22   4.5e-20   70.0   0.2     3   145   108   241   106   257 0.86 | transcript=PVW1_140031000_t1 | gene=PVW1_140031000 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | location=CAJZCX010000003:1127759-1130074(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472124.1         -            771 2989at5820           -            649   1.2e-26   91.7   9.3   2   3   6.9e-08   2.6e-05   21.2   0.8   291   433   385   544   361   558 0.68 | transcript=PVW1_140031000_t1 | gene=PVW1_140031000 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | location=CAJZCX010000003:1127759-1130074(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
