#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475711.1         -            948 7873at5820           -            702    9e-256  849.0   0.0   1   1  1.5e-256  5.3e-254  843.1   0.0     2   690    11   921    10   943 0.75 | transcript=PVW1_130025100_t1 | gene=PVW1_130025100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:921968-925139(+) | protein_length=948 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471991.1         -            685 7873at5820           -            702   0.00014   18.6  13.3   1   3       3.2   1.1e+03   -4.2   2.5   157   191    12    46     2    63 0.37 | transcript=PVW1_140024200_t1 | gene=PVW1_140024200 | organism=Plasmodium_vivax_PvW1 | gene_product=U4/U6.U5 tri-snRNP-associated protein 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A3L6] | transcript_product=U4/U6.U5 tri-snRNP-associated protein 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A3L6] | location=CAJZCX010000003:842497-844554(+) | protein_length=685 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471991.1         -            685 7873at5820           -            702   0.00014   18.6  13.3   2   3         6   2.1e+03   -5.1  11.6   463   542   327   403   308   417 0.25 | transcript=PVW1_140024200_t1 | gene=PVW1_140024200 | organism=Plasmodium_vivax_PvW1 | gene_product=U4/U6.U5 tri-snRNP-associated protein 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A3L6] | transcript_product=U4/U6.U5 tri-snRNP-associated protein 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A3L6] | location=CAJZCX010000003:842497-844554(+) | protein_length=685 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471991.1         -            685 7873at5820           -            702   0.00014   18.6  13.3   3   3     4e-07   0.00014   18.6  13.3   125   276   423   613   416   623 0.64 | transcript=PVW1_140024200_t1 | gene=PVW1_140024200 | organism=Plasmodium_vivax_PvW1 | gene_product=U4/U6.U5 tri-snRNP-associated protein 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A3L6] | transcript_product=U4/U6.U5 tri-snRNP-associated protein 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A3L6] | location=CAJZCX010000003:842497-844554(+) | protein_length=685 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472562.1         -            400 7873at5820           -            702    0.0002   18.2  29.8   1   2   5.7e-06     0.002   14.8   2.2   167   301    74   211    57   215 0.44 | transcript=PVW1_140072700_t1 | gene=PVW1_140072700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2885109-2886834(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472562.1         -            400 7873at5820           -            702    0.0002   18.2  29.8   2   2   0.00032      0.11    9.1  20.0   135   221   240   314   219   362 0.39 | transcript=PVW1_140072700_t1 | gene=PVW1_140072700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2885109-2886834(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478211.1         -            709 7873at5820           -            702    0.0058   13.3   0.6   1   1   2.7e-05    0.0098   12.6   0.6   157   217   291   349   282   415 0.54 | transcript=PVW1_110050500_t1 | gene=PVW1_110050500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1923296-1925425(-) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476556.1         -            630 7873at5820           -            702     0.006   13.3  49.8   1   2   4.9e-05     0.018   11.7  21.9   464   555   204   295   196   307 0.60 | transcript=PVW1_090010500_t1 | gene=PVW1_090010500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:327394-329286(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476556.1         -            630 7873at5820           -            702     0.006   13.3  49.8   2   2    0.0011      0.39    7.3  20.0   454   548   383   477   377   497 0.46 | transcript=PVW1_090010500_t1 | gene=PVW1_090010500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:327394-329286(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480603.1         -            409 7873at5820           -            702      0.25    7.9   8.3   1   1     0.001      0.36    7.4   8.3   165   198    82   115    59   139 0.55 | transcript=PVW1_070028500_t1 | gene=PVW1_070028500 | organism=Plasmodium_vivax_PvW1 | gene_product=BPL/LPL catalytic domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZTX2] | transcript_product=BPL/LPL catalytic domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZTX2] | location=CAJZCX010000011:1042113-1043342(+) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476510.1         -            345 7873at5820           -            702      0.34    7.5  19.8   1   2   6.9e-06    0.0025   14.6  11.7   163   238   121   196   112   228 0.32 | transcript=PVW1_090007200_t1 | gene=PVW1_090007200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:144387-145547(+) | protein_length=345 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
