#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476955.1         -           1216 2178at5820           -            722         0 1062.0  38.2   1   7   1.3e-24   1.5e-21   74.8   3.4     1    56    38    93    38   137 0.81 | transcript=PVW1_090031500_t1 | gene=PVW1_090031500 | organism=Plasmodium_vivax_PvW1 | gene_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | transcript_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | location=CAJZCX010000007:1186605-1190368(-) | protein_length=1216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476955.1         -           1216 2178at5820           -            722         0 1062.0  38.2   2   7   1.3e-59   1.6e-56  190.4   8.6    62   216   187   365   181   407 0.85 | transcript=PVW1_090031500_t1 | gene=PVW1_090031500 | organism=Plasmodium_vivax_PvW1 | gene_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | transcript_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | location=CAJZCX010000007:1186605-1190368(-) | protein_length=1216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476955.1         -           1216 2178at5820           -            722         0 1062.0  38.2   3   7   2.8e-46   3.4e-43  146.4   1.5   226   319   469   568   455   572 0.92 | transcript=PVW1_090031500_t1 | gene=PVW1_090031500 | organism=Plasmodium_vivax_PvW1 | gene_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | transcript_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | location=CAJZCX010000007:1186605-1190368(-) | protein_length=1216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476955.1         -           1216 2178at5820           -            722         0 1062.0  38.2   4   7   0.00088       1.1    5.9   0.0   320   336   652   668   646   678 0.87 | transcript=PVW1_090031500_t1 | gene=PVW1_090031500 | organism=Plasmodium_vivax_PvW1 | gene_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | transcript_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | location=CAJZCX010000007:1186605-1190368(-) | protein_length=1216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476955.1         -           1216 2178at5820           -            722         0 1062.0  38.2   5   7     1e-96   1.2e-93  313.1   0.0   339   532   710   910   698   921 0.92 | transcript=PVW1_090031500_t1 | gene=PVW1_090031500 | organism=Plasmodium_vivax_PvW1 | gene_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | transcript_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | location=CAJZCX010000007:1186605-1190368(-) | protein_length=1216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476955.1         -           1216 2178at5820           -            722         0 1062.0  38.2   6   7   1.7e-64     2e-61  206.6   0.0   526   643   965  1082   952  1090 0.95 | transcript=PVW1_090031500_t1 | gene=PVW1_090031500 | organism=Plasmodium_vivax_PvW1 | gene_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | transcript_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | location=CAJZCX010000007:1186605-1190368(-) | protein_length=1216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476955.1         -           1216 2178at5820           -            722         0 1062.0  38.2   7   7   1.3e-42   1.6e-39  134.2   0.2   639   722  1132  1216  1123  1216 0.96 | transcript=PVW1_090031500_t1 | gene=PVW1_090031500 | organism=Plasmodium_vivax_PvW1 | gene_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | transcript_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | location=CAJZCX010000007:1186605-1190368(-) | protein_length=1216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472446.1         -            631 2178at5820           -            722   4.2e-15   53.5   1.2   1   1   5.9e-18   7.2e-15   52.7   1.2   376   532     7   169     4   196 0.79 | transcript=PVW1_140061500_t1 | gene=PVW1_140061500 | organism=Plasmodium_vivax_PvW1 | gene_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | transcript_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | location=CAJZCX010000003:2456607-2458627(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479845.1         -            406 2178at5820           -            722     2e-10   38.1   0.0   1   1   2.4e-13   2.9e-10   37.5   0.0   389   470     4    82     1   120 0.90 | transcript=PVW1_050023400_t1 | gene=PVW1_050023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:798821-800041(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 2178at5820           -            722   2.2e-10   37.9   3.0   1   2   1.3e-06    0.0016   15.2   1.6   383   464   209   288   195   305 0.87 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 2178at5820           -            722   2.2e-10   37.9   3.0   2   2   1.9e-08   2.3e-05   21.3   0.0   386   463   668   751   661   766 0.76 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
