#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480555.1         -            378 7896at5820           -            322  1.8e-198  656.8  25.6   1   2  2.9e-176  8.4e-174  575.7  12.1     1   295     1   304     1   309 0.97 | transcript=PVW1_070024000_t1 | gene=PVW1_070024000 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL1] | location=CAJZCX010000011:865899-867834(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480555.1         -            378 7896at5820           -            322  1.8e-198  656.8  25.6   2   2   9.5e-28   2.7e-25   87.7   5.4   263   322   311   378   305   378 0.88 | transcript=PVW1_070024000_t1 | gene=PVW1_070024000 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL1] | location=CAJZCX010000011:865899-867834(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476142.1         -            381 7896at5820           -            322   9.8e-28   95.7   9.5   1   1   4.3e-30   1.3e-27   95.4   9.5     5   209     5   221     1   254 0.82 | transcript=PVW1_130041400_t1 | gene=PVW1_130041400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | location=CAJZCX010000006:1601914-1603428(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476648.1         -            549 7896at5820           -            322     6e-15   53.7   0.5   1   2   2.1e-17     6e-15   53.7   0.5    18   118     3   100     1   105 0.88 | transcript=PVW1_090014600_t1 | gene=PVW1_090014600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:508668-510317(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476648.1         -            549 7896at5820           -            322     6e-15   53.7   0.5   2   2         2   5.8e+02   -2.1   4.5   149   308   281   438   277   442 0.59 | transcript=PVW1_090014600_t1 | gene=PVW1_090014600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:508668-510317(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485005.1         -            853 7896at5820           -            322   1.1e-12   46.3   0.2   1   1   5.7e-15   1.6e-12   45.7   0.2    53   116   299   365   290   407 0.84 | transcript=PVW1_010018400_t1 | gene=PVW1_010018400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:600405-602966(+) | protein_length=853 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475530.1         -            421 7896at5820           -            322   5.9e-12   43.9   0.7   1   2   4.4e-14   1.3e-11   42.8   0.2    50   122    24    97    19   110 0.87 | transcript=PVW1_130018400_t1 | gene=PVW1_130018400 | organism=Plasmodium_vivax_PvW1 | gene_product=HSP40, subfamily A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP4] | transcript_product=HSP40, subfamily A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP4] | location=CAJZCX010000006:617512-619342(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475530.1         -            421 7896at5820           -            322   5.9e-12   43.9   0.7   2   2       1.8   5.3e+02   -2.0   0.0   245   277   111   144   104   149 0.72 | transcript=PVW1_130018400_t1 | gene=PVW1_130018400 | organism=Plasmodium_vivax_PvW1 | gene_product=HSP40, subfamily A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP4] | transcript_product=HSP40, subfamily A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP4] | location=CAJZCX010000006:617512-619342(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472027.1         -            720 7896at5820           -            322   2.4e-11   41.9   0.1   1   1   1.7e-13   4.9e-11   40.8   0.1    43   159   119   240    93   255 0.67 | transcript=PVW1_140026000_t1 | gene=PVW1_140026000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:913807-915969(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474838.1         -            529 7896at5820           -            322   1.2e-10   39.5   1.5   1   2   4.3e-13   1.2e-10   39.5   1.5    47   117   185   257   166   292 0.89 | transcript=PVW1_100034600_t1 | gene=PVW1_100034600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | location=CAJZCX010000005:1375350-1377271(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474838.1         -            529 7896at5820           -            322   1.2e-10   39.5   1.5   2   2       2.5   7.3e+02   -2.4   0.7   245   289   475   518   448   526 0.68 | transcript=PVW1_100034600_t1 | gene=PVW1_100034600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | location=CAJZCX010000005:1375350-1377271(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
