#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479845.1         -            406 7619at5820           -            348  4.3e-159  527.7   9.1   1   3   8.1e-83     7e-80  267.2   4.8     3   150     4   155     2   158 0.98 | transcript=PVW1_050023400_t1 | gene=PVW1_050023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:798821-800041(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479845.1         -            406 7619at5820           -            348  4.3e-159  527.7   9.1   2   3   3.1e-38   2.7e-35  120.5   0.2   150   237   174   263   168   271 0.94 | transcript=PVW1_050023400_t1 | gene=PVW1_050023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:798821-800041(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479845.1         -            406 7619at5820           -            348  4.3e-159  527.7   9.1   3   3   2.2e-44   1.9e-41  140.7   0.0   237   347   286   404   276   405 0.93 | transcript=PVW1_050023400_t1 | gene=PVW1_050023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:798821-800041(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472446.1         -            631 7619at5820           -            348   1.2e-30  105.3  20.9   1   3   1.7e-32   1.5e-29  101.6   9.6     1   204    18   223    18   240 0.82 | transcript=PVW1_140061500_t1 | gene=PVW1_140061500 | organism=Plasmodium_vivax_PvW1 | gene_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | transcript_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | location=CAJZCX010000003:2456607-2458627(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472446.1         -            631 7619at5820           -            348   1.2e-30  105.3  20.9   2   3   8.2e-05     0.072   10.6   1.1   170   235   325   394   296   403 0.81 | transcript=PVW1_140061500_t1 | gene=PVW1_140061500 | organism=Plasmodium_vivax_PvW1 | gene_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | transcript_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | location=CAJZCX010000003:2456607-2458627(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472446.1         -            631 7619at5820           -            348   1.2e-30  105.3  20.9   3   3      0.51   4.5e+02   -1.9   0.0   259   289   455   484   454   491 0.70 | transcript=PVW1_140061500_t1 | gene=PVW1_140061500 | organism=Plasmodium_vivax_PvW1 | gene_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | transcript_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | location=CAJZCX010000003:2456607-2458627(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472329.1         -           1143 7619at5820           -            348   1.6e-25   88.4  20.3   1   3   3.3e-10   2.8e-07   28.4  10.9     2   170    64   233    63   275 0.82 | transcript=PVW1_140050300_t1 | gene=PVW1_140050300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1969199-1973142(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472329.1         -           1143 7619at5820           -            348   1.6e-25   88.4  20.3   2   3   1.9e-18   1.6e-15   55.5   0.1     2   170   524   705   523   715 0.76 | transcript=PVW1_140050300_t1 | gene=PVW1_140050300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1969199-1973142(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472329.1         -           1143 7619at5820           -            348   1.6e-25   88.4  20.3   3   3   0.00022      0.19    9.2   0.3   179   255   908   984   881   994 0.79 | transcript=PVW1_140050300_t1 | gene=PVW1_140050300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1969199-1973142(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 7619at5820           -            348   1.2e-20   72.3  15.4   1   4   8.5e-10   7.4e-07   27.0   3.9     2    67   214   279   213   319 0.77 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 7619at5820           -            348   1.2e-20   72.3  15.4   2   4     2e-13   1.7e-10   38.9   0.1     2    67   670   744   669   756 0.86 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 7619at5820           -            348   1.2e-20   72.3  15.4   3   4   2.5e-05     0.022   12.3   0.4    92   174   818   901   814   919 0.78 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
