#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473956.1         -            188 14515at5820          -            111   6.2e-45  150.8   7.8   1   2   5.3e-12   8.1e-09   34.5   0.1     1    49     1    51     1    80 0.77 | transcript=PVW1_120077000_t1 | gene=PVW1_120077000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3025888-3026454(-) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473956.1         -            188 14515at5820          -            111   6.2e-45  150.8   7.8   2   2   8.2e-38   1.2e-34  117.6   4.2    49   111   126   188   114   188 0.93 | transcript=PVW1_120077000_t1 | gene=PVW1_120077000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3025888-3026454(-) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481362.1         -           1625 14515at5820          -            111      0.12   11.4   5.9   1   2     0.065        99    2.1   0.5    40    77   457   494   416   510 0.83 | transcript=PVW1_060012600_t1 | gene=PVW1_060012600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:315533-320410(-) | protein_length=1625 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481362.1         -           1625 14515at5820          -            111      0.12   11.4   5.9   2   2    0.0002       0.3   10.2   0.7    13    72  1319  1371  1311  1374 0.81 | transcript=PVW1_060012600_t1 | gene=PVW1_060012600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:315533-320410(-) | protein_length=1625 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471932.1         -           1097 14515at5820          -            111      0.24   10.5   4.1   1   3       0.8   1.2e+03   -1.4   0.0    13    61    36    79    29    87 0.59 | transcript=PVW1_140019000_t1 | gene=PVW1_140019000 | organism=Plasmodium_vivax_PvW1 | gene_product=M1-family alanyl aminopeptidase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJV9] | transcript_product=M1-family alanyl aminopeptidase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJV9] | location=CAJZCX010000003:625334-628627(+) | protein_length=1097 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471932.1         -           1097 14515at5820          -            111      0.24   10.5   4.1   2   3       1.9   2.9e+03   -2.6   0.1    68    91   598   621   572   641 0.69 | transcript=PVW1_140019000_t1 | gene=PVW1_140019000 | organism=Plasmodium_vivax_PvW1 | gene_product=M1-family alanyl aminopeptidase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJV9] | transcript_product=M1-family alanyl aminopeptidase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJV9] | location=CAJZCX010000003:625334-628627(+) | protein_length=1097 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471932.1         -           1097 14515at5820          -            111      0.24   10.5   4.1   3   3   0.00017      0.26   10.4   0.4    42    83   949   994   940  1003 0.75 | transcript=PVW1_140019000_t1 | gene=PVW1_140019000 | organism=Plasmodium_vivax_PvW1 | gene_product=M1-family alanyl aminopeptidase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJV9] | transcript_product=M1-family alanyl aminopeptidase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJV9] | location=CAJZCX010000003:625334-628627(+) | protein_length=1097 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472569.1         -            701 14515at5820          -            111       3.3    6.8   9.5   1   2      0.14   2.1e+02    1.0   1.7    11    62   183   234   175   243 0.84 | transcript=PVW1_140073200_t1 | gene=PVW1_140073200 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U5] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U5] | location=CAJZCX010000003:2898229-2900803(-) | protein_length=701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472569.1         -            701 14515at5820          -            111       3.3    6.8   9.5   2   2   0.00039       0.6    9.2   1.1     7    64   339   396   334   403 0.89 | transcript=PVW1_140073200_t1 | gene=PVW1_140073200 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U5] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U5] | location=CAJZCX010000003:2898229-2900803(-) | protein_length=701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
