#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478831.1         -            188 12151at5820          -            140   1.2e-82  273.4   5.8   1   1   9.6e-82   5.3e-79  261.6   5.8     1   140     1   167     1   167 0.92 | transcript=PVW1_080015900_t1 | gene=PVW1_080015900 | organism=Plasmodium_vivax_PvW1 | gene_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | transcript_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | location=CAJZCX010000009:520383-522129(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475877.1         -            708 12151at5820          -            140     2e-14   52.4   1.6   1   4   1.8e-08     1e-05   24.2   0.0    46    97   390   443   384   448 0.87 | transcript=PVW1_130032400_t1 | gene=PVW1_130032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1210572-1212698(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475877.1         -            708 12151at5820          -            140     2e-14   52.4   1.6   2   4   1.3e-05    0.0074   14.9   0.1    39    99   450   514   446   535 0.84 | transcript=PVW1_130032400_t1 | gene=PVW1_130032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1210572-1212698(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475877.1         -            708 12151at5820          -            140     2e-14   52.4   1.6   3   4   0.00017     0.095   11.3   0.1    49    96   496   544   491   568 0.86 | transcript=PVW1_130032400_t1 | gene=PVW1_130032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1210572-1212698(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475877.1         -            708 12151at5820          -            140     2e-14   52.4   1.6   4   4    0.0011      0.62    8.7   0.1    45    96   591   644   547   658 0.83 | transcript=PVW1_130032400_t1 | gene=PVW1_130032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1210572-1212698(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479343.1         -            611 12151at5820          -            140   2.5e-10   39.1   0.5   1   2    0.0025       1.4    7.5   0.1    96   113    82    99    38   123 0.73 | transcript=PVW1_080042500_t1 | gene=PVW1_080042500 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | location=CAJZCX010000009:1603314-1606083(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479343.1         -            611 12151at5820          -            140   2.5e-10   39.1   0.5   2   2     5e-10   2.8e-07   29.2   0.0    36    93   154   212   134   221 0.91 | transcript=PVW1_080042500_t1 | gene=PVW1_080042500 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | location=CAJZCX010000009:1603314-1606083(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481387.1         -           1875 12151at5820          -            140   4.5e-09   35.1   9.2   1   3   9.9e-09   5.5e-06   25.0   0.2    39    98  1055  1115  1025  1123 0.83 | transcript=PVW1_060013400_t1 | gene=PVW1_060013400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:366202-371829(-) | protein_length=1875 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481387.1         -           1875 12151at5820          -            140   4.5e-09   35.1   9.2   2   3    0.0016      0.88    8.2   0.1    43   102  1135  1195  1118  1200 0.87 | transcript=PVW1_060013400_t1 | gene=PVW1_060013400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:366202-371829(-) | protein_length=1875 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481387.1         -           1875 12151at5820          -            140   4.5e-09   35.1   9.2   3   3     0.004       2.2    6.9   0.0    38    92  1197  1252  1194  1261 0.89 | transcript=PVW1_060013400_t1 | gene=PVW1_060013400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:366202-371829(-) | protein_length=1875 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481770.1         -            482 12151at5820          -            140   5.2e-09   34.8   0.5   1   4       5.5     3e+03   -3.3   0.0    86    94    22    30     6    36 0.70 | transcript=PVW1_060025300_t1 | gene=PVW1_060025300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:835079-836920(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
