#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472342.1         -            717 4744at5820           -            548  2.5e-292  968.7  19.5   1   4     0.089        14    2.4   0.0     1    48     1    67     1    80 0.60 | transcript=PVW1_140051600_t1 | gene=PVW1_140051600 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA helicase 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5D5] | transcript_product=DNA helicase 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5D5] | location=CAJZCX010000003:2018402-2020555(-) | protein_length=717 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472342.1         -            717 4744at5820           -            548  2.5e-292  968.7  19.5   2   4   0.00047     0.076    9.9   3.8    47    85   118   159   116   168 0.79 | transcript=PVW1_140051600_t1 | gene=PVW1_140051600 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA helicase 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5D5] | transcript_product=DNA helicase 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5D5] | location=CAJZCX010000003:2018402-2020555(-) | protein_length=717 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472342.1         -            717 4744at5820           -            548  2.5e-292  968.7  19.5   3   4   5.4e-73   8.6e-71  237.5   0.2    54   225   177   350   163   362 0.86 | transcript=PVW1_140051600_t1 | gene=PVW1_140051600 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA helicase 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5D5] | transcript_product=DNA helicase 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5D5] | location=CAJZCX010000003:2018402-2020555(-) | protein_length=717 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472342.1         -            717 4744at5820           -            548  2.5e-292  968.7  19.5   4   4  3.9e-221  6.2e-219  726.5   2.6   223   548   391   716   384   716 0.99 | transcript=PVW1_140051600_t1 | gene=PVW1_140051600 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA helicase 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5D5] | transcript_product=DNA helicase 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5D5] | location=CAJZCX010000003:2018402-2020555(-) | protein_length=717 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473936.1         -            528 4744at5820           -            548  1.8e-127  424.6   0.1   1   1  1.3e-129    2e-127  424.4   0.1    52   547     4   496     1   497 0.90 | transcript=PVW1_120076000_t1 | gene=PVW1_120076000 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H6] | transcript_product=ATP-dependent RNA helicase DDX5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H6] | location=CAJZCX010000004:2982516-2985951(-) | protein_length=528 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472179.1         -            918 4744at5820           -            548   7.7e-82  273.9  10.7   1   3         2   3.3e+02   -2.1   0.4    80   107    23    50     5    72 0.67 | transcript=PVW1_140035900_t1 | gene=PVW1_140035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1337528-1340284(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472179.1         -            918 4744at5820           -            548   7.7e-82  273.9  10.7   2   3       2.9   4.7e+02   -2.6   0.9    59    97   104   144    67   153 0.75 | transcript=PVW1_140035900_t1 | gene=PVW1_140035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1337528-1340284(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472179.1         -            918 4744at5820           -            548   7.7e-82  273.9  10.7   3   3   4.8e-84   7.7e-82  273.9  10.7   152   540   332   747   319   754 0.85 | transcript=PVW1_140035900_t1 | gene=PVW1_140035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1337528-1340284(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475031.1         -           1444 4744at5820           -            548   3.6e-80  268.4   5.2   1   2   2.2e-82   3.6e-80  268.4   5.2    79   545   598  1062   565  1065 0.84 | transcript=PVW1_100049300_t1 | gene=PVW1_100049300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2015636-2019970(-) | protein_length=1444 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475031.1         -           1444 4744at5820           -            548   3.6e-80  268.4   5.2   2   2       5.8   9.3e+02   -3.6   7.4    78   152  1248  1325  1210  1334 0.60 | transcript=PVW1_100049300_t1 | gene=PVW1_100049300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2015636-2019970(-) | protein_length=1444 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474908.1         -           1009 4744at5820           -            548   3.7e-79  265.1   0.0   1   2   4.1e-46   6.5e-44  148.8   0.0    96   335   527   762   513   769 0.89 | transcript=PVW1_100039500_t1 | gene=PVW1_100039500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1606696-1609725(+) | protein_length=1009 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
