#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473609.1         -            250 12195at5820          -            218  1.3e-107  356.8  28.6   1   1    3e-110  2.6e-107  355.8  28.6     3   217     7   249     5   250 0.92 | transcript=PVW1_120053100_t1 | gene=PVW1_120053100 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH37] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH37] | location=CAJZCX010000004:1995819-1996914(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481748.1         -            317 12195at5820          -            218   1.3e-14   52.7  40.6   1   2   0.00011     0.095   10.6  18.1    76   168    33   136    17   143 0.65 | transcript=PVW1_060024400_t1 | gene=PVW1_060024400 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | location=CAJZCX010000012:796314-797805(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481748.1         -            317 12195at5820          -            218   1.3e-14   52.7  40.6   2   2   9.5e-15   8.2e-12   43.5  16.0    39   201   136   306   132   313 0.85 | transcript=PVW1_060024400_t1 | gene=PVW1_060024400 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | location=CAJZCX010000012:796314-797805(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479732.1         -            198 12195at5820          -            218   6.3e-14   50.5   4.5   1   2     0.037        32    2.4   0.4   109   154    33    74     2    89 0.61 | transcript=PVW1_050016800_t1 | gene=PVW1_050016800 | organism=Plasmodium_vivax_PvW1 | gene_product=Dynein light chain 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF1] | transcript_product=Dynein light chain 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF1] | location=CAJZCX010000010:539634-541511(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479732.1         -            198 12195at5820          -            218   6.3e-14   50.5   4.5   2   2   7.2e-17   6.3e-14   50.5   4.5    91   203    76   191    71   196 0.76 | transcript=PVW1_050016800_t1 | gene=PVW1_050016800 | organism=Plasmodium_vivax_PvW1 | gene_product=Dynein light chain 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF1] | transcript_product=Dynein light chain 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF1] | location=CAJZCX010000010:539634-541511(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477438.1         -            176 12195at5820          -            218   4.3e-07   28.1   3.7   1   2    0.0057       4.9    5.0   3.1    89   148    18    79     5    82 0.71 | transcript=PVW1_110007700_t1 | gene=PVW1_110007700 | organism=Plasmodium_vivax_PvW1 | gene_product=U2 small nuclear ribonucleoprotein A', putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZWM9] | transcript_product=U2 small nuclear ribonucleoprotein A', putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZWM9] | location=CAJZCX010000008:123344-124687(+) | protein_length=176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477438.1         -            176 12195at5820          -            218   4.3e-07   28.1   3.7   2   2     5e-10   4.3e-07   28.1   3.7   128   206    83   159    80   165 0.90 | transcript=PVW1_110007700_t1 | gene=PVW1_110007700 | organism=Plasmodium_vivax_PvW1 | gene_product=U2 small nuclear ribonucleoprotein A', putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZWM9] | transcript_product=U2 small nuclear ribonucleoprotein A', putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZWM9] | location=CAJZCX010000008:123344-124687(+) | protein_length=176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473172.1         -            250 12195at5820          -            218   2.7e-06   25.5  18.2   1   2    0.0004      0.35    8.8  11.0    72   167    25   123    21   126 0.63 | transcript=PVW1_120021600_t1 | gene=PVW1_120021600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG80] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG80] | location=CAJZCX010000004:753079-754820(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473172.1         -            250 12195at5820          -            218   2.7e-06   25.5  18.2   2   2   2.3e-07    0.0002   19.4   0.6   132   203   140   209   132   216 0.84 | transcript=PVW1_120021600_t1 | gene=PVW1_120021600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG80] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG80] | location=CAJZCX010000004:753079-754820(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475021.1         -            371 12195at5820          -            218   2.7e-05   22.2  14.8   1   4    0.0011      0.95    7.4   0.1   135   173    37    72    26    76 0.81 | transcript=PVW1_100048800_t1 | gene=PVW1_100048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1990818-1992588(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475021.1         -            371 12195at5820          -            218   2.7e-05   22.2  14.8   2   4   0.00078      0.67    7.9   0.5   129   153    75    99    71   116 0.74 | transcript=PVW1_100048800_t1 | gene=PVW1_100048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1990818-1992588(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
