#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477735.1         -           1176 3582at5820           -            705         0 1014.7 134.6   1   6   5.6e-08   6.8e-05   19.6  21.6    12    90    53   151    42   175 0.66 | transcript=PVW1_110023800_t1 | gene=PVW1_110023800 | organism=Plasmodium_vivax_PvW1 | gene_product=Ran-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFA2] | transcript_product=Ran-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFA2] | location=CAJZCX010000008:796267-799797(-) | protein_length=1176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477735.1         -           1176 3582at5820           -            705         0 1014.7 134.6   2   6    0.0016       1.9    4.9  21.9    44   130   176   261   156   274 0.67 | transcript=PVW1_110023800_t1 | gene=PVW1_110023800 | organism=Plasmodium_vivax_PvW1 | gene_product=Ran-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFA2] | transcript_product=Ran-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFA2] | location=CAJZCX010000008:796267-799797(-) | protein_length=1176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477735.1         -           1176 3582at5820           -            705         0 1014.7 134.6   3   6  1.4e-121  1.7e-118  395.1  26.1   114   333   284   509   257   519 0.91 | transcript=PVW1_110023800_t1 | gene=PVW1_110023800 | organism=Plasmodium_vivax_PvW1 | gene_product=Ran-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFA2] | transcript_product=Ran-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFA2] | location=CAJZCX010000008:796267-799797(-) | protein_length=1176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477735.1         -           1176 3582at5820           -            705         0 1014.7 134.6   4   6    3e-137  3.7e-134  446.9  25.4   336   569   615   853   612   871 0.94 | transcript=PVW1_110023800_t1 | gene=PVW1_110023800 | organism=Plasmodium_vivax_PvW1 | gene_product=Ran-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFA2] | transcript_product=Ran-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFA2] | location=CAJZCX010000008:796267-799797(-) | protein_length=1176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477735.1         -           1176 3582at5820           -            705         0 1014.7 134.6   5   6   3.2e-32   3.9e-29   99.8   7.7   580   661   964  1049   954  1058 0.86 | transcript=PVW1_110023800_t1 | gene=PVW1_110023800 | organism=Plasmodium_vivax_PvW1 | gene_product=Ran-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFA2] | transcript_product=Ran-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFA2] | location=CAJZCX010000008:796267-799797(-) | protein_length=1176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477735.1         -           1176 3582at5820           -            705         0 1014.7 134.6   6   6   6.4e-24   7.8e-21   72.3   0.3   641   705  1107  1173  1090  1173 0.84 | transcript=PVW1_110023800_t1 | gene=PVW1_110023800 | organism=Plasmodium_vivax_PvW1 | gene_product=Ran-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFA2] | transcript_product=Ran-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFA2] | location=CAJZCX010000008:796267-799797(-) | protein_length=1176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484297.1         -            127 3582at5820           -            705    0.0011   15.6   1.1   1   1     1e-06    0.0012   15.5   1.1    74   159    11   102     1   109 0.65 | transcript=PVW1_020024100_t1 | gene=PVW1_020024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:861076-861652(+) | protein_length=127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474892.1         -            133 3582at5820           -            705    0.0069   13.0   0.3   1   1   5.7e-06    0.0069   13.0   0.3   355   424    21    90     3   121 0.84 | transcript=PVW1_100038600_t1 | gene=PVW1_100038600 | organism=Plasmodium_vivax_PvW1 | gene_product=40S ribosomal protein S24 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYL4] | transcript_product=40S ribosomal protein S24 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYL4] | location=CAJZCX010000005:1571014-1571639(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474932.1         -            155 3582at5820           -            705       8.4    2.8  19.6   1   1    0.0074         9    2.7  19.6    27    86    74   132    28   145 0.48 | transcript=PVW1_100041400_t1 | gene=PVW1_100041400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1681178-1681961(-) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477014.1         -            156 3582at5820           -            705       9.4    2.7  15.6   1   2     0.086     1e+02   -0.8   0.0   151   172     6    27     3    36 0.87 | transcript=PVW1_090036300_t1 | gene=PVW1_090036300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ3] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ3] | location=CAJZCX010000007:1370808-1371278(-) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477014.1         -            156 3582at5820           -            705       9.4    2.7  15.6   2   2    0.0033         4    3.9  12.7    43   123    79   151    50   156 0.56 | transcript=PVW1_090036300_t1 | gene=PVW1_090036300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ3] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ3] | location=CAJZCX010000007:1370808-1371278(-) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3582at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3582at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3582at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:32 2026
# [ok]
