#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475760.1         -            378 7976at5820           -            295  2.8e-144  478.4  23.1   1   1  5.2e-147  3.5e-144  478.1  23.1     1   295    36   374    36   374 0.94 | transcript=PVW1_130027200_t1 | gene=PVW1_130027200 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | location=CAJZCX010000006:996469-999981(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 7976at5820           -            295   9.2e-66  220.7  74.4   1   8   1.3e-09   8.7e-07   27.1   2.7   216   270    97   154    82   155 0.82 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 7976at5820           -            295   9.2e-66  220.7  74.4   2   8   2.1e-18   1.4e-15   55.9   6.0   206   274   145   219   137   225 0.82 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 7976at5820           -            295   9.2e-66  220.7  74.4   3   8   1.4e-09   9.3e-07   27.0   0.4   218   273   222   279   216   285 0.84 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 7976at5820           -            295   9.2e-66  220.7  74.4   4   8   3.8e-13   2.6e-10   38.7   4.9   168   268   288   408   285   421 0.75 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 7976at5820           -            295   9.2e-66  220.7  74.4   5   8     0.083        56    1.4   0.5    62   239   671   691   655   719 0.55 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 7976at5820           -            295   9.2e-66  220.7  74.4   6   8   5.1e-13   3.5e-10   38.2   5.1    32   127   721   823   712   830 0.81 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 7976at5820           -            295   9.2e-66  220.7  74.4   7   8   2.4e-16   1.6e-13   49.2  11.6    37   128   924  1020   911  1037 0.83 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 7976at5820           -            295   9.2e-66  220.7  74.4   8   8   9.3e-07   0.00063   17.7   0.1    76   135  1040  1105  1028  1113 0.77 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479067.1         -            575 7976at5820           -            295   6.8e-50  168.6  58.0   1   4    0.0038       2.6    5.8   0.2    55    74   225   244   220   249 0.81 | transcript=PVW1_080025400_t1 | gene=PVW1_080025400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:935586-937313(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479067.1         -            575 7976at5820           -            295   6.8e-50  168.6  58.0   2   4     5e-28   3.4e-25   87.5  18.5     1   135   231   377   231   380 0.86 | transcript=PVW1_080025400_t1 | gene=PVW1_080025400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:935586-937313(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479067.1         -            575 7976at5820           -            295   6.8e-50  168.6  58.0   3   4   2.5e-22   1.7e-19   68.8  15.4    19   128   377   493   376   495 0.91 | transcript=PVW1_080025400_t1 | gene=PVW1_080025400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:935586-937313(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479067.1         -            575 7976at5820           -            295   6.8e-50  168.6  58.0   4   4     8e-14   5.4e-11   40.9   8.1    39   115   461   538   452   547 0.87 | transcript=PVW1_080025400_t1 | gene=PVW1_080025400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:935586-937313(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476527.1         -            585 7976at5820           -            295   8.8e-36  122.3  49.0   1   3   8.4e-22   5.6e-19   67.1  13.6     1   114   238   357   238   359 0.89 | transcript=PVW1_090009400_t1 | gene=PVW1_090009400 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCB5] | transcript_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCB5] | location=CAJZCX010000007:274236-277874(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476527.1         -            585 7976at5820           -            295   8.8e-36  122.3  49.0   2   3   1.7e-16   1.2e-13   49.6  12.5    18   129   317   439   315   441 0.82 | transcript=PVW1_090009400_t1 | gene=PVW1_090009400 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCB5] | transcript_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCB5] | location=CAJZCX010000007:274236-277874(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476527.1         -            585 7976at5820           -            295   8.8e-36  122.3  49.0   3   3     9e-12     6e-09   34.2   7.0     5   111   432   548   428   556 0.81 | transcript=PVW1_090009400_t1 | gene=PVW1_090009400 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCB5] | transcript_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCB5] | location=CAJZCX010000007:274236-277874(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473273.1         -            565 7976at5820           -            295   4.4e-32  110.1  35.3   1   4   7.8e-13   5.3e-10   37.6   3.5    44   137   181   281   158   293 0.79 | transcript=PVW1_120030400_t1 | gene=PVW1_120030400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1131926-1135402(+) | protein_length=565 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473273.1         -            565 7976at5820           -            295   4.4e-32  110.1  35.3   2   4   9.8e-11   6.6e-08   30.7   2.9    38   246   317   370   288   375 0.57 | transcript=PVW1_120030400_t1 | gene=PVW1_120030400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1131926-1135402(+) | protein_length=565 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473273.1         -            565 7976at5820           -            295   4.4e-32  110.1  35.3   3   4   1.1e-18   7.5e-16   56.8   7.4    10   130   350   483   349   488 0.83 | transcript=PVW1_120030400_t1 | gene=PVW1_120030400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1131926-1135402(+) | protein_length=565 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473273.1         -            565 7976at5820           -            295   4.4e-32  110.1  35.3   4   4   3.8e-09   2.6e-06   25.5   3.4    57   117   467   532   465   561 0.77 | transcript=PVW1_120030400_t1 | gene=PVW1_120030400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1131926-1135402(+) | protein_length=565 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
