#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474810.1         -            301 11117at5820          -            234    2e-112  372.6  49.8   1   2  6.7e-100   4.5e-97  322.4  40.0     1   180     8   197     8   208 0.93 | transcript=PVW1_100032100_t1 | gene=PVW1_100032100 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1g, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH1] | transcript_product=Inner membrane complex protein 1g, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH1] | location=CAJZCX010000005:1266349-1267254(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474810.1         -            301 11117at5820          -            234    2e-112  372.6  49.8   2   2   3.8e-18   2.6e-15   54.8   3.1   163   230   205   289   196   301 0.77 | transcript=PVW1_100032100_t1 | gene=PVW1_100032100 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1g, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH1] | transcript_product=Inner membrane complex protein 1g, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH1] | location=CAJZCX010000005:1266349-1267254(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479328.1         -            530 11117at5820          -            234   5.5e-27   93.0  47.8   1   3   8.2e-30   5.5e-27   93.0  47.8    23   170    89   237    85   245 0.94 | transcript=PVW1_080041800_t1 | gene=PVW1_080041800 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | transcript_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | location=CAJZCX010000009:1578443-1580035(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479328.1         -            530 11117at5820          -            234   5.5e-27   93.0  47.8   2   3   4.9e-06    0.0033   15.2  25.1    31   153   193   317   193   323 0.80 | transcript=PVW1_080041800_t1 | gene=PVW1_080041800 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | transcript_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | location=CAJZCX010000009:1578443-1580035(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479328.1         -            530 11117at5820          -            234   5.5e-27   93.0  47.8   3   3       0.2   1.3e+02    0.1   2.4    14    51   300   337   291   343 0.81 | transcript=PVW1_080041800_t1 | gene=PVW1_080041800 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | transcript_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | location=CAJZCX010000009:1578443-1580035(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479714.1         -            628 11117at5820          -            234   1.9e-23   81.4  35.3   1   2   2.8e-26   1.9e-23   81.4  35.3    18   154    67   204    55   265 0.86 | transcript=PVW1_050015700_t1 | gene=PVW1_050015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:496125-498011(+) | protein_length=628 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479714.1         -            628 11117at5820          -            234   1.9e-23   81.4  35.3   2   2       1.3   8.4e+02   -2.5   0.0   183   231   565   618   541   620 0.61 | transcript=PVW1_050015700_t1 | gene=PVW1_050015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:496125-498011(+) | protein_length=628 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478649.1         -            286 11117at5820          -            234     4e-12   44.3  35.5   1   2    0.0025       1.7    6.3   0.9    44    59    42    57    36    60 0.66 | transcript=PVW1_080008700_t1 | gene=PVW1_080008700 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1c, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ5] | transcript_product=Inner membrane complex protein 1c, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ5] | location=CAJZCX010000009:217882-218742(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478649.1         -            286 11117at5820          -            234     4e-12   44.3  35.5   2   2   2.6e-14   1.7e-11   42.3  28.5    27   109    59   143    57   160 0.86 | transcript=PVW1_080008700_t1 | gene=PVW1_080008700 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1c, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ5] | transcript_product=Inner membrane complex protein 1c, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ5] | location=CAJZCX010000009:217882-218742(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472283.1         -            567 11117at5820          -            234   0.00018   19.3  35.6   1   2   0.00034      0.23    9.2  21.8    14   111   114   213   112   216 0.88 | transcript=PVW1_140045900_t1 | gene=PVW1_140045900 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1h, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKN1] | transcript_product=Inner membrane complex protein 1h, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKN1] | location=CAJZCX010000003:1756611-1758314(+) | protein_length=567 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472283.1         -            567 11117at5820          -            234   0.00018   19.3  35.6   2   2   2.6e-07   0.00018   19.3  35.6    16   122   161   277   155   280 0.86 | transcript=PVW1_140045900_t1 | gene=PVW1_140045900 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1h, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKN1] | transcript_product=Inner membrane complex protein 1h, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKN1] | location=CAJZCX010000003:1756611-1758314(+) | protein_length=567 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
