#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474044.1         -            928 3557at5820           -            694         0 1100.1  77.8   1   3   3.2e-85   3.2e-82  275.6  11.0     1   247     1   259     1   269 0.81 | transcript=PVW1_120085200_t1 | gene=PVW1_120085200 | organism=Plasmodium_vivax_PvW1 | gene_product=HA2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHY9] | transcript_product=HA2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHY9] | location=CAJZCX010000004:3413671-3416457(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474044.1         -            928 3557at5820           -            694         0 1100.1  77.8   2   3     9e-05     0.091    9.7   1.1   180   226   320   372   299   376 0.68 | transcript=PVW1_120085200_t1 | gene=PVW1_120085200 | organism=Plasmodium_vivax_PvW1 | gene_product=HA2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHY9] | transcript_product=HA2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHY9] | location=CAJZCX010000004:3413671-3416457(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474044.1         -            928 3557at5820           -            694         0 1100.1  77.8   3   3  4.4e-250  4.4e-247  820.5  50.7   220   694   389   920   379   920 0.92 | transcript=PVW1_120085200_t1 | gene=PVW1_120085200 | organism=Plasmodium_vivax_PvW1 | gene_product=HA2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHY9] | transcript_product=HA2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHY9] | location=CAJZCX010000004:3413671-3416457(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477554.1         -           1127 3557at5820           -            694   4.2e-49  166.1  21.7   1   5       5.3   5.3e+03   -6.1   2.9   193   246   163   221   143   254 0.47 | transcript=PVW1_110013100_t1 | gene=PVW1_110013100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:327569-330952(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477554.1         -           1127 3557at5820           -            694   4.2e-49  166.1  21.7   2   5       2.1   2.1e+03   -4.7   6.3   162   253   333   431   317   453 0.68 | transcript=PVW1_110013100_t1 | gene=PVW1_110013100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:327569-330952(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477554.1         -           1127 3557at5820           -            694   4.2e-49  166.1  21.7   3   5   5.4e-14   5.4e-11   40.2   2.0    20   161   438   589   427   603 0.77 | transcript=PVW1_110013100_t1 | gene=PVW1_110013100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:327569-330952(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477554.1         -           1127 3557at5820           -            694   4.2e-49  166.1  21.7   4   5     0.011        12    2.7   0.3   277   321   612   660   599   671 0.76 | transcript=PVW1_110013100_t1 | gene=PVW1_110013100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:327569-330952(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477554.1         -           1127 3557at5820           -            694   4.2e-49  166.1  21.7   5   5   1.9e-44     2e-41  140.8  12.2   338   685   765  1115   755  1127 0.87 | transcript=PVW1_110013100_t1 | gene=PVW1_110013100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:327569-330952(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481690.1         -           1224 3557at5820           -            694   1.1e-45  154.9  14.6   1   3   2.5e-11   2.5e-08   31.4   0.4    11   162   562   723   552   735 0.66 | transcript=PVW1_060021700_t1 | gene=PVW1_060021700 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ3] | transcript_product=Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ3] | location=CAJZCX010000012:703413-707759(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481690.1         -           1224 3557at5820           -            694   1.1e-45  154.9  14.6   2   3     0.017        17    2.2   0.0   277   326   745   793   734   804 0.83 | transcript=PVW1_060021700_t1 | gene=PVW1_060021700 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ3] | transcript_product=Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ3] | location=CAJZCX010000012:703413-707759(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481690.1         -           1224 3557at5820           -            694   1.1e-45  154.9  14.6   3   3   1.1e-39   1.1e-36  125.0   6.3   360   685   850  1180   824  1188 0.84 | transcript=PVW1_060021700_t1 | gene=PVW1_060021700 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ3] | transcript_product=Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ3] | location=CAJZCX010000012:703413-707759(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
