#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480322.1         -           1119 3149at5820           -            567  2.4e-246  817.3  55.8   1   5   4.3e-67   2.6e-64  216.3   2.1     1   119     1   134     1   201 0.86 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 3149at5820           -            567  2.4e-246  817.3  55.8   2   5     0.038        23    1.9   0.0   160   193   525   558   514   563 0.81 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 3149at5820           -            567  2.4e-246  817.3  55.8   3   5     6e-95   3.6e-92  308.3  27.4   183   393   581   845   571   849 0.81 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 3149at5820           -            567  2.4e-246  817.3  55.8   4   5     0.038        23    1.9   0.1   387   415   898   926   891   939 0.79 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 3149at5820           -            567  2.4e-246  817.3  55.8   5   5   8.2e-90     5e-87  291.3   7.2   403   567   943  1119   921  1119 0.93 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472483.1         -            259 3149at5820           -            567   5.4e-15   53.5   7.1   1   3   0.00059      0.36    7.9   0.0    38    66     7    35     1    40 0.62 | transcript=PVW1_140065200_t1 | gene=PVW1_140065200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | location=CAJZCX010000003:2633772-2635544(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472483.1         -            259 3149at5820           -            567   5.4e-15   53.5   7.1   2   3   1.3e-07   7.6e-05   20.0   1.1   230   373    34   163    30   171 0.81 | transcript=PVW1_140065200_t1 | gene=PVW1_140065200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | location=CAJZCX010000003:2633772-2635544(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472483.1         -            259 3149at5820           -            567   5.4e-15   53.5   7.1   3   3   9.4e-10   5.7e-07   27.0   0.3   464   538   167   236   157   252 0.80 | transcript=PVW1_140065200_t1 | gene=PVW1_140065200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | location=CAJZCX010000003:2633772-2635544(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484005.1         -            332 3149at5820           -            567   4.6e-13   47.1   0.2   1   3   0.00072      0.44    7.6   0.0    25    66    13    55     7    61 0.77 | transcript=PVW1_020014300_t1 | gene=PVW1_020014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | location=CAJZCX010000015:420292-422552(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484005.1         -            332 3149at5820           -            567   4.6e-13   47.1   0.2   2   3   3.5e-11   2.1e-08   31.7   0.1   240   326    93   176    85   215 0.77 | transcript=PVW1_020014300_t1 | gene=PVW1_020014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | location=CAJZCX010000015:420292-422552(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484005.1         -            332 3149at5820           -            567   4.6e-13   47.1   0.2   3   3    0.0096       5.8    3.9   0.1   489   541   256   313   242   325 0.78 | transcript=PVW1_020014300_t1 | gene=PVW1_020014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | location=CAJZCX010000015:420292-422552(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
