#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472194.1         -           1226 2022at5820           -            968         0 1829.1 148.6   1   5   4.6e-47   5.5e-44  148.9   9.1     1    87     1    87     1   105 0.88 | transcript=PVW1_140037400_t1 | gene=PVW1_140037400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1423312-1428451(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472194.1         -           1226 2022at5820           -            968         0 1829.1 148.6   2   5  4.8e-198  5.8e-195  648.7  53.2    79   419   121   474   113   482 0.96 | transcript=PVW1_140037400_t1 | gene=PVW1_140037400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1423312-1428451(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472194.1         -           1226 2022at5820           -            968         0 1829.1 148.6   3   5   0.00012      0.15    8.5   2.4   418   448   512   545   503   566 0.78 | transcript=PVW1_140037400_t1 | gene=PVW1_140037400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1423312-1428451(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472194.1         -           1226 2022at5820           -            968         0 1829.1 148.6   4   5    2e-174  2.5e-171  570.5  33.7   444   758   591   959   579   977 0.95 | transcript=PVW1_140037400_t1 | gene=PVW1_140037400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1423312-1428451(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472194.1         -           1226 2022at5820           -            968         0 1829.1 148.6   5   5  3.1e-146  3.8e-143  477.1  18.7   756   968  1014  1226  1006  1226 0.99 | transcript=PVW1_140037400_t1 | gene=PVW1_140037400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1423312-1428451(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480587.1         -            846 2022at5820           -            968   1.7e-21   74.5  36.5   1   2   5.8e-11   7.1e-08   29.4  25.9   478   730   421   659   397   663 0.79 | transcript=PVW1_070026900_t1 | gene=PVW1_070026900 | organism=Plasmodium_vivax_PvW1 | gene_product=Dynein intermediate chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAP1] | transcript_product=Dynein intermediate chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAP1] | location=CAJZCX010000011:972211-975804(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480587.1         -            846 2022at5820           -            968   1.7e-21   74.5  36.5   2   2   3.2e-17   3.9e-14   50.1   3.4   786   950   664   825   650   835 0.84 | transcript=PVW1_070026900_t1 | gene=PVW1_070026900 | organism=Plasmodium_vivax_PvW1 | gene_product=Dynein intermediate chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAP1] | transcript_product=Dynein intermediate chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAP1] | location=CAJZCX010000011:972211-975804(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473416.1         -            533 2022at5820           -            968   0.00013   18.6   9.7   1   3     0.083     1e+02   -0.9   0.0   878   894   279   295   244   327 0.73 | transcript=PVW1_120039700_t1 | gene=PVW1_120039700 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP6] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP6] | location=CAJZCX010000004:1446484-1448085(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473416.1         -            533 2022at5820           -            968   0.00013   18.6   9.7   2   3   3.4e-06    0.0041   13.6   0.9   850   898   328   379   310   382 0.83 | transcript=PVW1_120039700_t1 | gene=PVW1_120039700 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP6] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP6] | location=CAJZCX010000004:1446484-1448085(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473416.1         -            533 2022at5820           -            968   0.00013   18.6   9.7   3   3   9.9e-05      0.12    8.8   2.0   812   892   382   461   370   467 0.85 | transcript=PVW1_120039700_t1 | gene=PVW1_120039700 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP6] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP6] | location=CAJZCX010000004:1446484-1448085(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481336.1         -            725 2022at5820           -            968   0.00014   18.5   1.4   1   2   2.8e-05     0.034   10.6   0.0   553   647   377   470   357   504 0.86 | transcript=PVW1_060011800_t1 | gene=PVW1_060011800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:287740-289917(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
