#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479169.1         -           2121 374at5820            -           1549         0 2461.8  89.9   1   7  1.5e-207  1.5e-204  680.6   4.5    28   416    92   525    85   529 0.92 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 374at5820            -           1549         0 2461.8  89.9   2   7   1.8e-85   1.8e-82  275.9   0.0   415   599   607   818   601   822 0.91 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 374at5820            -           1549         0 2461.8  89.9   3   7  2.9e-112  2.9e-109  364.7   0.1   590   797   835  1051   829  1053 0.96 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 374at5820            -           1549         0 2461.8  89.9   4   7   4.7e-11   4.7e-08   29.3   0.1    28   109  1066  1147  1062  1152 0.73 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 374at5820            -           1549         0 2461.8  89.9   5   7   3.4e-29   3.4e-26   89.4   0.0   823   914  1143  1242  1138  1248 0.88 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 374at5820            -           1549         0 2461.8  89.9   6   7  1.3e-185  1.3e-182  607.9  32.5   926  1294  1308  1757  1302  1760 0.89 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 374at5820            -           1549         0 2461.8  89.9   7   7  1.3e-130  1.3e-127  425.5  27.4  1293  1549  1802  2121  1793  2121 0.89 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485134.1         -            295 374at5820            -           1549   1.2e-35  120.7   0.0   1   1   1.4e-38   1.4e-35  120.5   0.0   597   795    89   289    37   294 0.87 | transcript=PVW1_010023300_t1 | gene=PVW1_010023300 | organism=Plasmodium_vivax_PvW1 | gene_product=VWFA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C3TTS9] | transcript_product=VWFA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C3TTS9] | location=CAJZCX010000016:840069-840956(+) | protein_length=295 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473334.1         -            556 374at5820            -           1549   6.5e-30  101.7   4.7   1   2   1.2e-30   1.2e-27   94.2   0.1   600   793    36   232    26   240 0.90 | transcript=PVW1_120033200_t1 | gene=PVW1_120033200 | organism=Plasmodium_vivax_PvW1 | gene_product=VWFA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A0A0R856] | transcript_product=VWFA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A0A0R856] | location=CAJZCX010000004:1237474-1239144(+) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473334.1         -            556 374at5820            -           1549   6.5e-30  101.7   4.7   2   2   8.9e-05      0.09    8.5   2.1  1215  1258   239   282   232   287 0.67 | transcript=PVW1_120033200_t1 | gene=PVW1_120033200 | organism=Plasmodium_vivax_PvW1 | gene_product=VWFA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A0A0R856] | transcript_product=VWFA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A0A0R856] | location=CAJZCX010000004:1237474-1239144(+) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477967.1         -           1460 374at5820            -           1549   1.4e-11   40.9   8.5   1   2    0.0001       0.1    8.2   5.1  1110  1321   255   280   133   329 0.52 | transcript=PVW1_110038400_t1 | gene=PVW1_110038400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1423938-1428320(-) | protein_length=1460 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
