#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483172.1         -            353 7798at5820           -            253  1.9e-109  363.4  22.4   1   1  6.8e-112  4.6e-109  362.1  22.4     8   252    55   345    34   346 0.86 | transcript=PVW1_030010800_t1 | gene=PVW1_030010800 | organism=Plasmodium_vivax_PvW1 | gene_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H793] | transcript_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H793] | location=CAJZCX010000014:300091-301152(-) | protein_length=353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 7798at5820           -            253   2.9e-43  146.6  59.1   1   9    0.0014      0.92    7.3   0.6    93   191   367   468   337   527 0.63 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 7798at5820           -            253   2.9e-43  146.6  59.1   2   9   3.3e-13   2.2e-10   38.8   2.8    66   244   716   901   707   909 0.72 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 7798at5820           -            253   2.9e-43  146.6  59.1   3   9   2.8e-09   1.9e-06   25.9   2.1    90   243  1049  1195  1043  1198 0.71 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 7798at5820           -            253   2.9e-43  146.6  59.1   4   9   8.9e-07    0.0006   17.8   0.6    30   154  1116  1241  1111  1253 0.75 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 7798at5820           -            253   2.9e-43  146.6  59.1   5   9   2.5e-10   1.7e-07   29.4   1.3   105   242  1516  1652  1468  1656 0.67 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 7798at5820           -            253   2.9e-43  146.6  59.1   6   9   1.2e-08   8.1e-06   23.9   0.1   125   206  1824  1903  1805  1925 0.82 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 7798at5820           -            253   2.9e-43  146.6  59.1   7   9      0.82   5.5e+02   -1.8   0.0   155   178  2095  2118  2077  2139 0.77 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 7798at5820           -            253   2.9e-43  146.6  59.1   8   9     2e-12   1.4e-09   36.3   2.0    64   243  2198  2411  2172  2421 0.63 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 7798at5820           -            253   2.9e-43  146.6  59.1   9   9   1.7e-05     0.012   13.6   4.5    43   202  2479  2652  2448  2699 0.68 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482620.1         -           2215 7798at5820           -            253   1.7e-33  114.5  54.9   1   7     0.025        17    3.2   0.0   102   191   209   296   194   305 0.78 | transcript=PVW1_040022300_t1 | gene=PVW1_040022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | transcript_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | location=CAJZCX010000013:738122-744769(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482620.1         -           2215 7798at5820           -            253   1.7e-33  114.5  54.9   2   7     9e-05     0.061   11.2   0.5   105   192   481   566   453   584 0.82 | transcript=PVW1_040022300_t1 | gene=PVW1_040022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | transcript_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | location=CAJZCX010000013:738122-744769(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
