#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476528.1         -            491 5577at5820           -            435  5.3e-261  864.6  20.8   1   2  2.2e-153  1.9e-150  500.3   2.5     1   237     1   252     1   266 0.95 | transcript=PVW1_090009500_t1 | gene=PVW1_090009500 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ8] | transcript_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ8] | location=CAJZCX010000007:280290-281765(+) | protein_length=491 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476528.1         -            491 5577at5820           -            435  5.3e-261  864.6  20.8   2   2  9.3e-114  8.1e-111  369.7  10.7   231   435   270   491   264   491 0.94 | transcript=PVW1_090009500_t1 | gene=PVW1_090009500 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ8] | transcript_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ8] | location=CAJZCX010000007:280290-281765(+) | protein_length=491 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476183.1         -            376 5577at5820           -            435   3.6e-28   97.4   0.1   1   2   3.2e-19   2.8e-16   58.2   0.0     9   246     9   249     1   263 0.72 | transcript=PVW1_130042800_t1 | gene=PVW1_130042800 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin II [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX5] | transcript_product=Actin II [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX5] | location=CAJZCX010000006:1651760-1653040(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476183.1         -            376 5577at5820           -            435   3.6e-28   97.4   0.1   2   2   7.4e-13   6.4e-10   37.3   0.0   347   434   292   375   279   376 0.86 | transcript=PVW1_130042800_t1 | gene=PVW1_130042800 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin II [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX5] | transcript_product=Actin II [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX5] | location=CAJZCX010000006:1651760-1653040(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472533.1         -            376 5577at5820           -            435     2e-27   94.9   0.0   1   2   5.9e-19   5.1e-16   57.4   0.0     4   247     5   250     3   283 0.73 | transcript=PVW1_140069700_t1 | gene=PVW1_140069700 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin II [Source:UniProtKB/TrEMBL;Acc:A0A1G4E843] | transcript_product=Actin II [Source:UniProtKB/TrEMBL;Acc:A0A1G4E843] | location=CAJZCX010000003:2784965-2786095(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472533.1         -            376 5577at5820           -            435     2e-27   94.9   0.0   2   2   5.5e-12   4.7e-09   34.4   0.0   353   434   298   375   282   376 0.85 | transcript=PVW1_140069700_t1 | gene=PVW1_140069700 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin II [Source:UniProtKB/TrEMBL;Acc:A0A1G4E843] | transcript_product=Actin II [Source:UniProtKB/TrEMBL;Acc:A0A1G4E843] | location=CAJZCX010000003:2784965-2786095(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484136.1         -            379 5577at5820           -            435   2.8e-27   94.5   2.0   1   2   1.3e-19   1.2e-16   59.5   0.8    81   198    83   198     8   267 0.70 | transcript=PVW1_020018500_t1 | gene=PVW1_020018500 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-related protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRF7] | transcript_product=Actin-related protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRF7] | location=CAJZCX010000015:593144-595815(+) | protein_length=379 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484136.1         -            379 5577at5820           -            435   2.8e-27   94.5   2.0   2   2   7.7e-12   6.6e-09   33.9   0.0   350   426   298   371   275   378 0.84 | transcript=PVW1_020018500_t1 | gene=PVW1_020018500 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-related protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRF7] | transcript_product=Actin-related protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRF7] | location=CAJZCX010000015:593144-595815(+) | protein_length=379 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475888.1         -            493 5577at5820           -            435   2.2e-25   88.2   0.1   1   2   1.3e-18   1.1e-15   56.2   0.0    99   209   134   244   129   247 0.92 | transcript=PVW1_130032700_t1 | gene=PVW1_130032700 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIW8] | transcript_product=Actin-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIW8] | location=CAJZCX010000006:1223664-1225145(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475888.1         -            493 5577at5820           -            435   2.2e-25   88.2   0.1   2   2   1.2e-10   1.1e-07   29.9   0.0   326   434   384   492   361   493 0.78 | transcript=PVW1_130032700_t1 | gene=PVW1_130032700 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIW8] | transcript_product=Actin-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIW8] | location=CAJZCX010000006:1223664-1225145(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475118.1         -            603 5577at5820           -            435     9e-19   66.4  23.6   1   2   0.00012      0.11   10.2   0.4     2   106     4   122     3   143 0.73 | transcript=PVW1_100052900_t1 | gene=PVW1_100052900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2140391-2142202(-) | protein_length=603 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475118.1         -            603 5577at5820           -            435     9e-19   66.4  23.6   2   2   5.2e-18   4.5e-15   54.2  17.1    93   434   269   603   240   603 0.76 | transcript=PVW1_100052900_t1 | gene=PVW1_100052900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2140391-2142202(-) | protein_length=603 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476662.1         -            378 5577at5820           -            435   3.6e-13   48.0   0.1   1   3      0.26   2.3e+02   -0.8   0.0     6    40     4    38     2    65 0.87 | transcript=PVW1_090016000_t1 | gene=PVW1_090016000 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX79] | transcript_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX79] | location=CAJZCX010000007:567283-569129(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476662.1         -            378 5577at5820           -            435   3.6e-13   48.0   0.1   2   3   2.2e-14   1.9e-11   42.3   0.1    97   246    83   235    70   242 0.83 | transcript=PVW1_090016000_t1 | gene=PVW1_090016000 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX79] | transcript_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX79] | location=CAJZCX010000007:567283-569129(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476662.1         -            378 5577at5820           -            435   3.6e-13   48.0   0.1   3   3     0.036        32    2.0   0.0   347   427   285   367   264   374 0.74 | transcript=PVW1_090016000_t1 | gene=PVW1_090016000 | organism=Plasmodium_vivax_PvW1 | gene_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX79] | transcript_product=Actin-like protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX79] | location=CAJZCX010000007:567283-569129(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5577at5820.hmm
