#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477266.1         -            797 4394at5820           -            638         0 1114.5  68.0   1   2  6.1e-297  3.7e-294  975.6  59.1     1   520     1   535     1   565 0.97 | transcript=PVW1_090051800_t1 | gene=PVW1_090051800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:2063821-2067363(-) | protein_length=797 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477266.1         -            797 4394at5820           -            638         0 1114.5  68.0   2   2   2.7e-45   1.6e-42  144.3   1.5   526   638   669   788   659   788 0.92 | transcript=PVW1_090051800_t1 | gene=PVW1_090051800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:2063821-2067363(-) | protein_length=797 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479084.1         -           1285 4394at5820           -            638   3.7e-31  106.8  32.4   1   2   4.3e-19   2.6e-16   57.7   5.3     4   155   508   651   505   657 0.78 | transcript=PVW1_080026200_t1 | gene=PVW1_080026200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:964937-968794(-) | protein_length=1285 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479084.1         -           1285 4394at5820           -            638   3.7e-31  106.8  32.4   2   2   6.4e-18   3.9e-15   53.9  19.3   189   452   667   933   656   940 0.67 | transcript=PVW1_080026200_t1 | gene=PVW1_080026200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:964937-968794(-) | protein_length=1285 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483945.1         -           1468 4394at5820           -            638   2.1e-30  104.3  14.9   1   3       3.5   2.1e+03   -4.7   1.0   395   435   223   263   196   277 0.51 | transcript=PVW1_020011700_t1 | gene=PVW1_020011700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:345375-350419(+) | protein_length=1468 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483945.1         -           1468 4394at5820           -            638   2.1e-30  104.3  14.9   2   3   3.4e-33   2.1e-30  104.3  14.9    27   377   798  1124   775  1183 0.79 | transcript=PVW1_020011700_t1 | gene=PVW1_020011700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:345375-350419(+) | protein_length=1468 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483945.1         -           1468 4394at5820           -            638   2.1e-30  104.3  14.9   3   3        10   6.1e+03   -9.7  17.4   440   574  1300  1433  1236  1453 0.71 | transcript=PVW1_020011700_t1 | gene=PVW1_020011700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:345375-350419(+) | protein_length=1468 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478814.1         -           3269 4394at5820           -            638   1.3e-24   85.2  34.8   1   7   6.6e-21     4e-18   63.8  22.7     3   244   162   412   160   420 0.82 | transcript=PVW1_080015200_t1 | gene=PVW1_080015200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:489109-499192(-) | protein_length=3269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478814.1         -           3269 4394at5820           -            638   1.3e-24   85.2  34.8   2   7   3.7e-13   2.2e-10   38.2   4.2   245   371   496   607   491   693 0.80 | transcript=PVW1_080015200_t1 | gene=PVW1_080015200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:489109-499192(-) | protein_length=3269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478814.1         -           3269 4394at5820           -            638   1.3e-24   85.2  34.8   3   7       2.8   1.7e+03   -4.4   2.6   460   572  1025  1057   990  1081 0.55 | transcript=PVW1_080015200_t1 | gene=PVW1_080015200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:489109-499192(-) | protein_length=3269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478814.1         -           3269 4394at5820           -            638   1.3e-24   85.2  34.8   4   7        10   6.1e+03  -12.8  34.1   381   579  1378  1568  1359  1584 0.39 | transcript=PVW1_080015200_t1 | gene=PVW1_080015200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:489109-499192(-) | protein_length=3269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478814.1         -           3269 4394at5820           -            638   1.3e-24   85.2  34.8   5   7      0.83   5.1e+02   -2.7   4.1   477   502  1711  1735  1693  1771 0.58 | transcript=PVW1_080015200_t1 | gene=PVW1_080015200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:489109-499192(-) | protein_length=3269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478814.1         -           3269 4394at5820           -            638   1.3e-24   85.2  34.8   6   7        10   6.1e+03   -9.7  12.4   402   488  1863  1950  1858  1979 0.72 | transcript=PVW1_080015200_t1 | gene=PVW1_080015200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:489109-499192(-) | protein_length=3269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478814.1         -           3269 4394at5820           -            638   1.3e-24   85.2  34.8   7   7      0.47   2.8e+02   -1.8   2.4   460   514  3026  3087  3024  3094 0.71 | transcript=PVW1_080015200_t1 | gene=PVW1_080015200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:489109-499192(-) | protein_length=3269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
