#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474745.1         -            250 10996at5820          -            217  1.5e-123  409.1  16.9   1   1    1e-125  6.9e-123  406.9  16.9     1   217    15   249    15   249 0.95 | transcript=PVW1_100027000_t1 | gene=PVW1_100027000 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYA1] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYA1] | location=CAJZCX010000005:1073731-1075857(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 10996at5820          -            217   1.6e-39  134.4  74.4   1   9   4.8e-10   3.2e-07   28.8   7.8    47   165    75   192    59   196 0.80 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 10996at5820          -            217   1.6e-39  134.4  74.4   2   9   7.2e-09   4.9e-06   24.9   5.4    89   146   176   232   173   237 0.88 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 10996at5820          -            217   1.6e-39  134.4  74.4   3   9   9.1e-05     0.062   11.5   0.1    88   132   236   279   233   296 0.89 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 10996at5820          -            217   1.6e-39  134.4  74.4   4   9   1.1e-13   7.3e-11   40.7   5.9    74   187   291   409   287   414 0.83 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 10996at5820          -            217   1.6e-39  134.4  74.4   5   9   1.2e-05    0.0081   14.4   0.8   110   150   722   763   714   768 0.83 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 10996at5820          -            217   1.6e-39  134.4  74.4   6   9   2.6e-06    0.0017   16.6   0.7   102   150   779   828   761   838 0.80 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 10996at5820          -            217   1.6e-39  134.4  74.4   7   9     7e-06    0.0048   15.2   4.8   113   150   924   962   911   986 0.79 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 10996at5820          -            217   1.6e-39  134.4  74.4   8   9   0.00015       0.1   10.8   4.1   104   150   977  1024   960  1032 0.79 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 10996at5820          -            217   1.6e-39  134.4  74.4   9   9   9.4e-05     0.063   11.5   0.1    96   138  1048  1090  1034  1102 0.85 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479067.1         -            575 10996at5820          -            217   2.7e-33  114.0  52.9   1   5   1.7e-10   1.1e-07   30.3  10.0    65   146   227   304   209   311 0.88 | transcript=PVW1_080025400_t1 | gene=PVW1_080025400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:935586-937313(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
