#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9485099.1         -            564 5519at5820           -            481         0 1080.1   6.3   1   1         0         0 1077.0   6.3     1   481     1   564     1   564 0.99 | transcript=PVW1_010021800_t1 | gene=PVW1_010021800 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K2] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K2] | location=CAJZCX010000016:755455-757677(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476126.1         -            304 5519at5820           -            481   3.5e-67  225.0   0.7   1   1   7.8e-70   4.8e-67  224.6   0.7    67   327    42   287    26   296 0.93 | transcript=PVW1_130040900_t1 | gene=PVW1_130040900 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ21] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ21] | location=CAJZCX010000006:1574831-1576985(-) | protein_length=304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480625.1         -            516 5519at5820           -            481   4.9e-62  208.1   0.5   1   1   1.1e-64   6.8e-62  207.6   0.5    62   324   233   486   199   503 0.88 | transcript=PVW1_070030300_t1 | gene=PVW1_070030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1107178-1108896(-) | protein_length=516 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477712.1         -            682 5519at5820           -            481   2.2e-60  202.6   0.9   1   2      0.47   2.8e+02   -2.2   0.1    23    69   205   251   188   266 0.75 | transcript=PVW1_110021900_t1 | gene=PVW1_110021900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | location=CAJZCX010000008:734450-736498(-) | protein_length=682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477712.1         -            682 5519at5820           -            481   2.2e-60  202.6   0.9   2   2   3.6e-63   2.2e-60  202.6   0.9    53   336   389   662   376   678 0.90 | transcript=PVW1_110021900_t1 | gene=PVW1_110021900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | location=CAJZCX010000008:734450-736498(-) | protein_length=682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479185.1         -            308 5519at5820           -            481   4.7e-60  201.5   1.0   1   1     1e-62   6.1e-60  201.2   1.0    57   340    25   293     5   306 0.90 | transcript=PVW1_080031400_t1 | gene=PVW1_080031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK8] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK8] | location=CAJZCX010000009:1205820-1206746(+) | protein_length=308 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480653.1         -            307 5519at5820           -            481   6.2e-59  197.8   1.5   1   1   1.7e-61     1e-58  197.1   1.5    45   328    11   279     6   290 0.91 | transcript=PVW1_070032700_t1 | gene=PVW1_070032700 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY5] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY5] | location=CAJZCX010000011:1210037-1210960(-) | protein_length=307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473632.1         -            878 5519at5820           -            481   2.8e-49  166.0   0.6   1   1   1.5e-51   8.8e-49  164.4   0.6    63   323   547   827   513   841 0.83 | transcript=PVW1_120055400_t1 | gene=PVW1_120055400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | location=CAJZCX010000004:2109751-2112515(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475871.1         -           1000 5519at5820           -            481   3.3e-30  103.1   2.8   1   1   1.1e-32   6.4e-30  102.2   2.8    81   333   284   532   260   541 0.84 | transcript=PVW1_130032200_t1 | gene=PVW1_130032200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1199845-1205677(-) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481269.1         -           2083 5519at5820           -            481   2.2e-23   80.6   0.2   1   2    0.0049         3    4.3   0.0    61   126  1162  1230  1150  1238 0.77 | transcript=PVW1_060009700_t1 | gene=PVW1_060009700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:190330-196735(-) | protein_length=2083 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481269.1         -           2083 5519at5820           -            481   2.2e-23   80.6   0.2   2   2     7e-24   4.3e-21   73.1   0.2   106   319  1277  1523  1271  1546 0.67 | transcript=PVW1_060009700_t1 | gene=PVW1_060009700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:190330-196735(-) | protein_length=2083 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
