#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479665.1         -            482 5565at5820           -            428  1.4e-263  872.4   7.6   1   1  2.1e-266  1.6e-263  872.2   7.6     1   428    24   482    24   482 0.96 | transcript=PVW1_050011400_t1 | gene=PVW1_050011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | transcript_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | location=CAJZCX010000010:315321-316887(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473553.1         -            543 5565at5820           -            428   2.4e-29  100.7   7.3   1   2   7.1e-09   5.4e-06   23.7   0.8     9   138    29   175    24   187 0.73 | transcript=PVW1_120048900_t1 | gene=PVW1_120048900 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGZ3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGZ3] | location=CAJZCX010000004:1833960-1836136(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473553.1         -            543 5565at5820           -            428   2.4e-29  100.7   7.3   2   2   4.6e-26   3.5e-23   80.3   0.9   279   419   377   524   322   532 0.83 | transcript=PVW1_120048900_t1 | gene=PVW1_120048900 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGZ3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGZ3] | location=CAJZCX010000004:1833960-1836136(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477069.1         -            424 5565at5820           -            428   2.9e-17   60.8   6.0   1   3     2e-07   0.00015   18.9   0.7   318   408    44   132    28   154 0.69 | transcript=PVW1_090039400_t1 | gene=PVW1_090039400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD87] | transcript_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD87] | location=CAJZCX010000007:1494636-1495910(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477069.1         -            424 5565at5820           -            428   2.9e-17   60.8   6.0   2   3   1.1e-14   8.6e-12   42.8   0.2   291   414   152   280   136   291 0.81 | transcript=PVW1_090039400_t1 | gene=PVW1_090039400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD87] | transcript_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD87] | location=CAJZCX010000007:1494636-1495910(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477069.1         -            424 5565at5820           -            428   2.9e-17   60.8   6.0   3   3     0.076        58    0.5   0.0    75   111   357   398   346   412 0.73 | transcript=PVW1_090039400_t1 | gene=PVW1_090039400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD87] | transcript_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD87] | location=CAJZCX010000007:1494636-1495910(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473120.1         -            209 5565at5820           -            428   5.4e-13   46.8   0.1   1   1   9.4e-16   7.2e-13   46.4   0.1   326   409    49   130    37   141 0.86 | transcript=PVW1_120017000_t1 | gene=PVW1_120017000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:565209-566229(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473744.1         -            104 5565at5820           -            428   9.3e-11   39.4   0.2   1   1   1.2e-13   9.4e-11   39.4   0.2    15   389     9    83     1   102 0.49 | transcript=PVW1_120064500_t1 | gene=PVW1_120064500 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Z2] | transcript_product=Thioredoxin [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Z2] | location=CAJZCX010000004:2496098-2496546(+) | protein_length=104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476969.1         -            424 5565at5820           -            428   6.3e-06   23.5   3.1   1   1   1.3e-08   9.8e-06   22.8   3.1    13   206    34   258    27   298 0.71 | transcript=PVW1_090032900_t1 | gene=PVW1_090032900 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ8] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ8] | location=CAJZCX010000007:1239892-1243395(+) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480627.1         -            133 5565at5820           -            428     3e-05   21.2   0.0   1   1   4.5e-08   3.4e-05   21.1   0.0   319   388    38   105    28   123 0.85 | transcript=PVW1_070030400_t1 | gene=PVW1_070030400 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVJ6] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVJ6] | location=CAJZCX010000011:1111647-1112752(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473202.1         -            157 5565at5820           -            428   0.00012   19.3   0.1   1   1   1.9e-07   0.00014   19.0   0.1    18    87    64   135    48   151 0.84 | transcript=PVW1_120024300_t1 | gene=PVW1_120024300 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0U1] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0U1] | location=CAJZCX010000004:866676-867768(+) | protein_length=157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5565at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5565at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5565at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:20 2026
# [ok]
