#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481408.1         -            874 3500at5820           -            687         0 1210.9  92.6   1   3  1.6e-251    2e-248  825.1  51.1     1   423     1   465     1   477 0.91 | transcript=PVW1_060014100_t1 | gene=PVW1_060014100 | organism=Plasmodium_vivax_PvW1 | gene_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUA1] | transcript_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUA1] | location=CAJZCX010000012:414574-417198(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481408.1         -            874 3500at5820           -            687         0 1210.9  92.6   2   3     5e-16   6.1e-13   46.8  12.4   420   487   509   585   498   616 0.75 | transcript=PVW1_060014100_t1 | gene=PVW1_060014100 | organism=Plasmodium_vivax_PvW1 | gene_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUA1] | transcript_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUA1] | location=CAJZCX010000012:414574-417198(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481408.1         -            874 3500at5820           -            687         0 1210.9  92.6   3   3  1.3e-106  1.5e-103  346.2  13.1   484   686   663   872   635   873 0.95 | transcript=PVW1_060014100_t1 | gene=PVW1_060014100 | organism=Plasmodium_vivax_PvW1 | gene_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUA1] | transcript_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUA1] | location=CAJZCX010000012:414574-417198(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473632.1         -            878 3500at5820           -            687   1.2e-13   49.1   0.0   1   2   8.3e-14     1e-10   39.5   0.0    74   214    20   156    12   178 0.88 | transcript=PVW1_120055400_t1 | gene=PVW1_120055400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | location=CAJZCX010000004:2109751-2112515(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473632.1         -            878 3500at5820           -            687   1.2e-13   49.1   0.0   2   2   0.00045      0.54    7.3   0.0   128   235   183   291   173   310 0.68 | transcript=PVW1_120055400_t1 | gene=PVW1_120055400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | location=CAJZCX010000004:2109751-2112515(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473696.1         -            647 3500at5820           -            687   5.3e-11   40.4  12.7   1   3   1.1e-10   1.4e-07   29.1   5.0    77   234    80   228    59   232 0.80 | transcript=PVW1_120061500_t1 | gene=PVW1_120061500 | organism=Plasmodium_vivax_PvW1 | gene_product=BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH99] | transcript_product=BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH99] | location=CAJZCX010000004:2378771-2380714(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473696.1         -            647 3500at5820           -            687   5.3e-11   40.4  12.7   2   3    0.0058         7    3.7   0.1    74   105   234   263   229   286 0.78 | transcript=PVW1_120061500_t1 | gene=PVW1_120061500 | organism=Plasmodium_vivax_PvW1 | gene_product=BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH99] | transcript_product=BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH99] | location=CAJZCX010000004:2378771-2380714(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473696.1         -            647 3500at5820           -            687   5.3e-11   40.4  12.7   3   3   3.6e-05     0.044   10.9   0.1   139   209   353   417   299   436 0.81 | transcript=PVW1_120061500_t1 | gene=PVW1_120061500 | organism=Plasmodium_vivax_PvW1 | gene_product=BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH99] | transcript_product=BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH99] | location=CAJZCX010000004:2378771-2380714(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477022.1         -           2386 3500at5820           -            687   4.3e-08   30.8   1.9   1   2     0.055        67    0.4   0.1   515   559  1317  1360  1271  1362 0.76 | transcript=PVW1_090036900_t1 | gene=PVW1_090036900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1391382-1398542(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477022.1         -           2386 3500at5820           -            687   4.3e-08   30.8   1.9   2   2   1.4e-10   1.7e-07   28.8   0.2   128   254  1429  1549  1419  1563 0.84 | transcript=PVW1_090036900_t1 | gene=PVW1_090036900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1391382-1398542(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472204.1         -            586 3500at5820           -            687   4.9e-05   20.7   3.6   1   3       1.5   1.9e+03   -4.4   1.3    17    30    19    32     9    67 0.47 | transcript=PVW1_140038400_t1 | gene=PVW1_140038400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1466332-1468092(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
