#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477889.1         -           1642 1628at5820           -           1124         0 1854.7 138.7   1   8   2.9e-28   2.6e-25   87.0  19.4     5   103    94   222    91   225 0.81 | transcript=PVW1_110033400_t1 | gene=PVW1_110033400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1245538-1250957(-) | protein_length=1642 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477889.1         -           1642 1628at5820           -           1124         0 1854.7 138.7   2   8   2.8e-09   2.4e-06   24.2   0.1   102   130   256   284   252   289 0.91 | transcript=PVW1_110033400_t1 | gene=PVW1_110033400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1245538-1250957(-) | protein_length=1642 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477889.1         -           1642 1628at5820           -           1124         0 1854.7 138.7   3   8   7.7e-08   6.7e-05   19.4   0.0   127   182   308   390   303   408 0.74 | transcript=PVW1_110033400_t1 | gene=PVW1_110033400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1245538-1250957(-) | protein_length=1642 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477889.1         -           1642 1628at5820           -           1124         0 1854.7 138.7   4   8    6e-269  5.2e-266  884.1  53.7   162   631   429   910   413   913 0.96 | transcript=PVW1_110033400_t1 | gene=PVW1_110033400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1245538-1250957(-) | protein_length=1642 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477889.1         -           1642 1628at5820           -           1124         0 1854.7 138.7   5   8   7.8e-73   6.7e-70  234.6   4.7   632   762   951  1090   949  1094 0.93 | transcript=PVW1_110033400_t1 | gene=PVW1_110033400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1245538-1250957(-) | protein_length=1642 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477889.1         -           1642 1628at5820           -           1124         0 1854.7 138.7   6   8   1.6e-50   1.4e-47  160.7   0.6   762   847  1185  1270  1174  1272 0.96 | transcript=PVW1_110033400_t1 | gene=PVW1_110033400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1245538-1250957(-) | protein_length=1642 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477889.1         -           1642 1628at5820           -           1124         0 1854.7 138.7   7   8   7.2e-55   6.3e-52  175.1   8.3   840   958  1304  1427  1293  1438 0.92 | transcript=PVW1_110033400_t1 | gene=PVW1_110033400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1245538-1250957(-) | protein_length=1642 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477889.1         -           1642 1628at5820           -           1124         0 1854.7 138.7   8   8   8.2e-92   7.1e-89  297.5   8.5   954  1124  1453  1642  1447  1642 0.92 | transcript=PVW1_110033400_t1 | gene=PVW1_110033400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1245538-1250957(-) | protein_length=1642 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 1628at5820           -           1124   7.5e-13   45.7  15.3   1   3   1.9e-10   1.7e-07   28.0   0.5   344   430   269   356   262   361 0.91 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 1628at5820           -           1124   7.5e-13   45.7  15.3   2   3   8.2e-08   7.1e-05   19.3   0.4   469   579   358   466   350   495 0.85 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 1628at5820           -           1124   7.5e-13   45.7  15.3   3   3   0.00014      0.12    8.6   5.0   455   551   455   550   455   583 0.81 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
