#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476200.1         -            519 6879at5820           -            333  1.1e-173  575.3  30.2   1   3  2.3e-104  3.5e-101  336.9  10.1     1   200     1   222     1   237 0.91 | transcript=PVW1_130044000_t1 | gene=PVW1_130044000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1701680-1703951(-) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476200.1         -            519 6879at5820           -            333  1.1e-173  575.3  30.2   2   3     0.035        53    1.0   0.4   183   221   306   344   280   350 0.84 | transcript=PVW1_130044000_t1 | gene=PVW1_130044000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1701680-1703951(-) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476200.1         -            519 6879at5820           -            333  1.1e-173  575.3  30.2   3   3   4.2e-77   6.4e-74  247.3   5.7   200   333   386   519   363   519 0.95 | transcript=PVW1_130044000_t1 | gene=PVW1_130044000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1701680-1703951(-) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475928.1         -            173 6879at5820           -            333   1.8e-06   25.6   2.9   1   2   2.2e-06    0.0033   14.8   1.7    32    86     3    55     1    59 0.86 | transcript=PVW1_130034400_t1 | gene=PVW1_130034400 | organism=Plasmodium_vivax_PvW1 | gene_product=DIX domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP5] | transcript_product=DIX domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP5] | location=CAJZCX010000006:1272537-1273692(+) | protein_length=173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475928.1         -            173 6879at5820           -            333   1.8e-06   25.6   2.9   2   2     4e-05     0.061   10.7   0.0   126   161    61    96    55   169 0.62 | transcript=PVW1_130034400_t1 | gene=PVW1_130034400 | organism=Plasmodium_vivax_PvW1 | gene_product=DIX domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP5] | transcript_product=DIX domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP5] | location=CAJZCX010000006:1272537-1273692(+) | protein_length=173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483227.1         -            285 6879at5820           -            333   0.00021   18.8   0.3   1   2      0.21   3.2e+02   -1.6   0.0    38    63   127   152   121   159 0.79 | transcript=PVW1_030013200_t1 | gene=PVW1_030013200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:420640-422158(-) | protein_length=285 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483227.1         -            285 6879at5820           -            333   0.00021   18.8   0.3   2   2   4.8e-07   0.00073   17.0   0.1    31   114   181   267   166   280 0.79 | transcript=PVW1_030013200_t1 | gene=PVW1_030013200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:420640-422158(-) | protein_length=285 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478715.1         -            723 6879at5820           -            333    0.0012   16.2   0.2   1   3   8.2e-07    0.0012   16.2   0.2   286   328    21    63    10    67 0.90 | transcript=PVW1_080010600_t1 | gene=PVW1_080010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:297773-299944(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478715.1         -            723 6879at5820           -            333    0.0012   16.2   0.2   2   3       3.9   5.9e+03   -5.7   7.0   202   245   220   265   194   292 0.61 | transcript=PVW1_080010600_t1 | gene=PVW1_080010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:297773-299944(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478715.1         -            723 6879at5820           -            333    0.0012   16.2   0.2   3   3       2.4   3.6e+03   -5.0  10.6   181   253   610   684   598   692 0.79 | transcript=PVW1_080010600_t1 | gene=PVW1_080010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:297773-299944(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
