#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472475.1         -           5476 71at5820             -           4311         0 6572.3 1030.3   1  15  7.7e-305  4.7e-301 1000.5 137.2     1   559     5   612     5   617 0.94 | transcript=PVW1_140064400_t1 | gene=PVW1_140064400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2577822-2594252(+) | protein_length=5476 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472475.1         -           5476 71at5820             -           4311         0 6572.3 1030.3   2  15   1.9e-89   1.1e-85  285.6  25.2   557   728   714   887   705   890 0.96 | transcript=PVW1_140064400_t1 | gene=PVW1_140064400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2577822-2594252(+) | protein_length=5476 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472475.1         -           5476 71at5820             -           4311         0 6572.3 1030.3   3  15         0         0 1866.4 208.9   724  1721   916  1968   902  1973 0.95 | transcript=PVW1_140064400_t1 | gene=PVW1_140064400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2577822-2594252(+) | protein_length=5476 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472475.1         -           5476 71at5820             -           4311         0 6572.3 1030.3   4  15  3.7e-161  2.2e-157  523.6 107.9  1719  2107  2042  2506  2037  2518 0.90 | transcript=PVW1_140064400_t1 | gene=PVW1_140064400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2577822-2594252(+) | protein_length=5476 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472475.1         -           5476 71at5820             -           4311         0 6572.3 1030.3   5  15  7.1e-129  4.3e-125  416.4  76.0  2109  2467  2550  2971  2546  2981 0.84 | transcript=PVW1_140064400_t1 | gene=PVW1_140064400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2577822-2594252(+) | protein_length=5476 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472475.1         -           5476 71at5820             -           4311         0 6572.3 1030.3   6  15   1.1e-22   6.4e-19   64.0   5.8  2448  2508  3000  3060  2988  3073 0.91 | transcript=PVW1_140064400_t1 | gene=PVW1_140064400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2577822-2594252(+) | protein_length=5476 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472475.1         -           5476 71at5820             -           4311         0 6572.3 1030.3   7  15   1.9e-12   1.1e-08   30.0   0.0  2502  2545  3100  3143  3075  3153 0.87 | transcript=PVW1_140064400_t1 | gene=PVW1_140064400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2577822-2594252(+) | protein_length=5476 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472475.1         -           5476 71at5820             -           4311         0 6572.3 1030.3   8  15   2.5e-10   1.5e-06   22.9   2.8  2546  2586  3181  3221  3177  3238 0.90 | transcript=PVW1_140064400_t1 | gene=PVW1_140064400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2577822-2594252(+) | protein_length=5476 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472475.1         -           5476 71at5820             -           4311         0 6572.3 1030.3   9  15   1.8e-62   1.1e-58  196.0  48.4  2559  2748  3226  3422  3220  3461 0.84 | transcript=PVW1_140064400_t1 | gene=PVW1_140064400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2577822-2594252(+) | protein_length=5476 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472475.1         -           5476 71at5820             -           4311         0 6572.3 1030.3  10  15   7.9e-55   4.8e-51  170.6  42.3  2734  2970  3467  3728  3457  3746 0.68 | transcript=PVW1_140064400_t1 | gene=PVW1_140064400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2577822-2594252(+) | protein_length=5476 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472475.1         -           5476 71at5820             -           4311         0 6572.3 1030.3  11  15  4.6e-143  2.8e-139  463.5 101.1  2917  3307  3730  4158  3713  4169 0.87 | transcript=PVW1_140064400_t1 | gene=PVW1_140064400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2577822-2594252(+) | protein_length=5476 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472475.1         -           5476 71at5820             -           4311         0 6572.3 1030.3  12  15    2e-131  1.2e-127  424.9  64.1  3300  3659  4223  4645  4217  4649 0.89 | transcript=PVW1_140064400_t1 | gene=PVW1_140064400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2577822-2594252(+) | protein_length=5476 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472475.1         -           5476 71at5820             -           4311         0 6572.3 1030.3  13  15   1.6e-67   9.7e-64  212.8  23.5  3656  3785  4709  4838  4705  4844 0.98 | transcript=PVW1_140064400_t1 | gene=PVW1_140064400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2577822-2594252(+) | protein_length=5476 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472475.1         -           5476 71at5820             -           4311         0 6572.3 1030.3  14  15   2.2e-68   1.3e-64  215.6  21.1  3785  3903  4872  4990  4864  4994 0.96 | transcript=PVW1_140064400_t1 | gene=PVW1_140064400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2577822-2594252(+) | protein_length=5476 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472475.1         -           5476 71at5820             -           4311         0 6572.3 1030.3  15  15  9.8e-227  5.9e-223  741.2  73.3  3893  4311  5031  5476  5023  5476 0.96 | transcript=PVW1_140064400_t1 | gene=PVW1_140064400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2577822-2594252(+) | protein_length=5476 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/71at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/71at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/71at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:39 2026
# [ok]
