#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483268.1         -            843 3707at5820           -            659         0 1238.6  13.6   1   3     0.023        28    1.2   0.1    13    46    62    94    52   113 0.67 | transcript=PVW1_030015100_t1 | gene=PVW1_030015100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:493733-497670(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483268.1         -            843 3707at5820           -            659         0 1238.6  13.6   2   3    0.0043       5.2    3.6   3.1    39    62   164   187   141   200 0.69 | transcript=PVW1_030015100_t1 | gene=PVW1_030015100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:493733-497670(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483268.1         -            843 3707at5820           -            659         0 1238.6  13.6   3   3         0         0 1238.6  13.6    52   659   222   835   199   835 0.95 | transcript=PVW1_030015100_t1 | gene=PVW1_030015100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:493733-497670(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480600.1         -            783 3707at5820           -            659   1.4e-87  292.9  16.2   1   1   1.6e-90     2e-87  292.4  16.2    27   569   147   695   134   713 0.87 | transcript=PVW1_070028200_t1 | gene=PVW1_070028200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1028999-1031350(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472237.1         -           1104 3707at5820           -            659   8.4e-87  290.4  17.6   1   2   1.8e-07   0.00022   18.0   0.0    74   114   463   503   411   526 0.75 | transcript=PVW1_140041700_t1 | gene=PVW1_140041700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1558522-1561836(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472237.1         -           1104 3707at5820           -            659   8.4e-87  290.4  17.6   2   2   1.3e-84   1.5e-81  273.0  14.5   130   647   551  1073   542  1082 0.90 | transcript=PVW1_140041700_t1 | gene=PVW1_140041700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1558522-1561836(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479792.1         -            662 3707at5820           -            659   6.3e-30  102.5   3.9   1   1   2.7e-32   3.3e-29  100.1   3.9    79   639    48   639    34   649 0.75 | transcript=PVW1_050020100_t1 | gene=PVW1_050020100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:661755-663743(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479790.1         -            699 3707at5820           -            659   1.9e-27   94.2  10.7   1   3   2.1e-16   2.6e-13   47.5   0.3    80   293    61   261    56   265 0.73 | transcript=PVW1_050019900_t1 | gene=PVW1_050019900 | organism=Plasmodium_vivax_PvW1 | gene_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | transcript_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | location=CAJZCX010000010:655468-657567(-) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479790.1         -            699 3707at5820           -            659   1.9e-27   94.2  10.7   2   3   1.4e-15   1.6e-12   44.9   0.7   343   571   359   597   353   621 0.76 | transcript=PVW1_050019900_t1 | gene=PVW1_050019900 | organism=Plasmodium_vivax_PvW1 | gene_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | transcript_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | location=CAJZCX010000010:655468-657567(-) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479790.1         -            699 3707at5820           -            659   1.9e-27   94.2  10.7   3   3   3.1e-06    0.0037   14.0   2.3   426   570   532   682   519   686 0.72 | transcript=PVW1_050019900_t1 | gene=PVW1_050019900 | organism=Plasmodium_vivax_PvW1 | gene_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | transcript_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | location=CAJZCX010000010:655468-657567(-) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
