#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483278.1         -            499 5504at5820           -            407  1.1e-252  836.5  26.0   1   2   3.3e-67   1.8e-64  216.7   5.1     1   115     2   138     2   142 0.91 | transcript=PVW1_030015600_t1 | gene=PVW1_030015600 | organism=Plasmodium_vivax_PvW1 | gene_product=DDB1- and CUL4-associated factor 13 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW2] | transcript_product=DDB1- and CUL4-associated factor 13 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW2] | location=CAJZCX010000014:515905-517404(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483278.1         -            499 5504at5820           -            407  1.1e-252  836.5  26.0   2   2  5.2e-191  2.9e-188  624.4  13.0   115   407   202   499   196   499 0.98 | transcript=PVW1_030015600_t1 | gene=PVW1_030015600 | organism=Plasmodium_vivax_PvW1 | gene_product=DDB1- and CUL4-associated factor 13 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW2] | transcript_product=DDB1- and CUL4-associated factor 13 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW2] | location=CAJZCX010000014:515905-517404(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477260.1         -            660 5504at5820           -            407   4.1e-13   47.6  14.3   1   4   5.4e-06     0.003   15.1   0.1   230   331   102   203    67   214 0.71 | transcript=PVW1_090051200_t1 | gene=PVW1_090051200 | organism=Plasmodium_vivax_PvW1 | gene_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | transcript_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | location=CAJZCX010000007:2044913-2046895(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477260.1         -            660 5504at5820           -            407   4.1e-13   47.6  14.3   2   4   0.00034      0.19    9.1   1.3    33    97   351   424   344   476 0.69 | transcript=PVW1_090051200_t1 | gene=PVW1_090051200 | organism=Plasmodium_vivax_PvW1 | gene_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | transcript_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | location=CAJZCX010000007:2044913-2046895(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477260.1         -            660 5504at5820           -            407   4.1e-13   47.6  14.3   3   4   3.4e-09   1.9e-06   25.6   0.6   221   325   465   569   428   579 0.75 | transcript=PVW1_090051200_t1 | gene=PVW1_090051200 | organism=Plasmodium_vivax_PvW1 | gene_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | transcript_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | location=CAJZCX010000007:2044913-2046895(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477260.1         -            660 5504at5820           -            407   4.1e-13   47.6  14.3   4   4    0.0054         3    5.2   0.2    65   113   610   658   601   660 0.78 | transcript=PVW1_090051200_t1 | gene=PVW1_090051200 | organism=Plasmodium_vivax_PvW1 | gene_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | transcript_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | location=CAJZCX010000007:2044913-2046895(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472452.1         -            503 5504at5820           -            407   3.4e-09   34.6   1.3   1   1     1e-11   5.6e-09   33.9   1.3   136   277   293   444   280   494 0.79 | transcript=PVW1_140062100_t1 | gene=PVW1_140062100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2485626-2487456(+) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479676.1         -            322 5504at5820           -            407   3.2e-08   31.4   6.4   1   4      0.48   2.7e+02   -1.2   0.0    48    81    18    52    13    66 0.66 | transcript=PVW1_050012500_t1 | gene=PVW1_050012500 | organism=Plasmodium_vivax_PvW1 | gene_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | transcript_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | location=CAJZCX010000010:364461-365871(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479676.1         -            322 5504at5820           -            407   3.2e-08   31.4   6.4   2   4     0.037        20    2.4   0.1   248   320    69    99    31   107 0.54 | transcript=PVW1_050012500_t1 | gene=PVW1_050012500 | organism=Plasmodium_vivax_PvW1 | gene_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | transcript_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | location=CAJZCX010000010:364461-365871(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479676.1         -            322 5504at5820           -            407   3.2e-08   31.4   6.4   3   4   2.8e-08   1.5e-05   22.6   0.3   248   320   111   186   104   191 0.86 | transcript=PVW1_050012500_t1 | gene=PVW1_050012500 | organism=Plasmodium_vivax_PvW1 | gene_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | transcript_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | location=CAJZCX010000010:364461-365871(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479676.1         -            322 5504at5820           -            407   3.2e-08   31.4   6.4   4   4    0.0044       2.5    5.5   0.0    74   122   181   237   175   245 0.77 | transcript=PVW1_050012500_t1 | gene=PVW1_050012500 | organism=Plasmodium_vivax_PvW1 | gene_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | transcript_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | location=CAJZCX010000010:364461-365871(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
