#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479224.1         -            488 6999at5820           -            339  7.7e-223  737.1   3.6   1   1  8.7e-225  9.7e-223  736.7   3.6     1   335   102   440   102   443 0.98 | transcript=PVW1_080033400_t1 | gene=PVW1_080033400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | location=CAJZCX010000009:1260295-1262736(+) | protein_length=488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479758.1         -            807 6999at5820           -            339   2.3e-65  219.3  15.3   1   3     2e-15   2.2e-13   48.4   3.2     4   102    28   123    25   133 0.88 | transcript=PVW1_050018200_t1 | gene=PVW1_050018200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8U0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8U0] | location=CAJZCX010000010:579160-581780(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479758.1         -            807 6999at5820           -            339   2.3e-65  219.3  15.3   2   3   2.6e-10   2.9e-08   31.5   0.5    82   180   204   307   195   314 0.65 | transcript=PVW1_050018200_t1 | gene=PVW1_050018200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8U0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8U0] | location=CAJZCX010000010:579160-581780(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479758.1         -            807 6999at5820           -            339   2.3e-65  219.3  15.3   3   3   2.2e-45   2.5e-43  146.9   0.2   152   303   579   730   566   737 0.96 | transcript=PVW1_050018200_t1 | gene=PVW1_050018200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8U0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8U0] | location=CAJZCX010000010:579160-581780(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475709.1         -            722 6999at5820           -            339   1.1e-58  197.3   1.5   1   1   1.4e-60   1.5e-58  196.9   1.5     9   300    18   312     9   326 0.87 | transcript=PVW1_130025000_t1 | gene=PVW1_130025000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:917366-919534(+) | protein_length=722 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471974.1         -            341 6999at5820           -            339   1.9e-51  173.5   0.4   1   1   2.5e-53   2.7e-51  173.0   0.4     5   297    24   339    20   341 0.80 | transcript=PVW1_140023200_t1 | gene=PVW1_140023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | location=CAJZCX010000003:799856-802773(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477698.1         -            288 6999at5820           -            339   2.8e-45  153.3   0.0   1   1   3.4e-47   3.7e-45  152.9   0.0    15   299     8   286     2   288 0.85 | transcript=PVW1_110020500_t1 | gene=PVW1_110020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | location=CAJZCX010000008:664005-665737(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479945.1         -            612 6999at5820           -            339   6.4e-40  135.6   5.4   1   1   1.3e-41   1.4e-39  134.5   5.4     6   303   262   575   259   582 0.76 | transcript=PVW1_050032400_t1 | gene=PVW1_050032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1143440-1145278(-) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473309.1         -            305 6999at5820           -            339   8.5e-40  135.2   1.8   1   1   1.1e-41   1.2e-39  134.8   1.8    10   301     8   297     2   302 0.84 | transcript=PVW1_120032100_t1 | gene=PVW1_120032100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | location=CAJZCX010000004:1203388-1205498(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476644.1         -            335 6999at5820           -            339   1.5e-36  124.5   5.0   1   1   3.7e-38     4e-36  123.1   5.0     8   302    40   333    34   335 0.82 | transcript=PVW1_090014300_t1 | gene=PVW1_090014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCF9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCF9] | location=CAJZCX010000007:499846-500853(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479886.1         -           1619 6999at5820           -            339   2.2e-36  124.0   0.3   1   2   0.00089     0.098   10.1   0.2     4    74   645   721   642   724 0.79 | transcript=PVW1_050027000_t1 | gene=PVW1_050027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:917091-922076(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
