#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473638.1         -           1449 1473at5820           -           1133         0 2017.9 143.1   1   2         0         0 1453.8 105.1     1   826     1   944     1   963 0.93 | transcript=PVW1_120056000_t1 | gene=PVW1_120056000 | organism=Plasmodium_vivax_PvW1 | gene_product=Potassium channel K2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1P8] | transcript_product=Potassium channel K2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1P8] | location=CAJZCX010000004:2149879-2154228(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473638.1         -           1449 1473at5820           -           1133         0 2017.9 143.1   2   2  3.6e-173  7.3e-170  565.6  30.1   795  1133  1096  1449  1070  1449 0.86 | transcript=PVW1_120056000_t1 | gene=PVW1_120056000 | organism=Plasmodium_vivax_PvW1 | gene_product=Potassium channel K2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1P8] | transcript_product=Potassium channel K2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1P8] | location=CAJZCX010000004:2149879-2154228(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472343.1         -           2041 1473at5820           -           1133   2.8e-10   37.1  45.7   1   5   2.5e-12     5e-09   33.0  34.1   108   405   582   886   545   965 0.76 | transcript=PVW1_140051700_t1 | gene=PVW1_140051700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2022711-2028989(+) | protein_length=2041 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472343.1         -           2041 1473at5820           -           1133   2.8e-10   37.1  45.7   2   5     0.002       4.1    3.5   6.2   500   560  1064  1125  1013  1148 0.77 | transcript=PVW1_140051700_t1 | gene=PVW1_140051700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2022711-2028989(+) | protein_length=2041 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472343.1         -           2041 1473at5820           -           1133   2.8e-10   37.1  45.7   3   5     0.022        45    0.0   3.3   564   711  1270  1422  1242  1440 0.49 | transcript=PVW1_140051700_t1 | gene=PVW1_140051700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2022711-2028989(+) | protein_length=2041 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472343.1         -           2041 1473at5820           -           1133   2.8e-10   37.1  45.7   4   5   1.8e-08   3.7e-05   20.2   3.7   892   979  1671  1763  1663  1808 0.79 | transcript=PVW1_140051700_t1 | gene=PVW1_140051700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2022711-2028989(+) | protein_length=2041 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472343.1         -           2041 1473at5820           -           1133   2.8e-10   37.1  45.7   5   5     0.064   1.3e+02   -1.5   2.8   546   628  1879  1962  1850  2035 0.73 | transcript=PVW1_140051700_t1 | gene=PVW1_140051700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2022711-2028989(+) | protein_length=2041 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475589.1         -           1645 1473at5820           -           1133   8.9e-06   22.2   4.2   1   4   4.6e-07   0.00094   15.5  36.8   277   570   543   838   332   849 0.75 | transcript=PVW1_130020300_t1 | gene=PVW1_130020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:690190-695401(-) | protein_length=1645 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475589.1         -           1645 1473at5820           -           1133   8.9e-06   22.2   4.2   2   4      0.57   1.2e+03   -4.7   4.4   561   664   975  1081   959  1103 0.57 | transcript=PVW1_130020300_t1 | gene=PVW1_130020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:690190-695401(-) | protein_length=1645 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475589.1         -           1645 1473at5820           -           1133   8.9e-06   22.2   4.2   3   4   4.4e-09   8.9e-06   22.2   4.2   873   957  1187  1272  1183  1303 0.86 | transcript=PVW1_130020300_t1 | gene=PVW1_130020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:690190-695401(-) | protein_length=1645 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475589.1         -           1645 1473at5820           -           1133   8.9e-06   22.2   4.2   4   4      0.28   5.7e+02   -3.6  14.3   997  1133  1496  1634  1463  1634 0.71 | transcript=PVW1_130020300_t1 | gene=PVW1_130020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:690190-695401(-) | protein_length=1645 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1473at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1473at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1473at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:17 2026
# [ok]
