#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473553.1         -            543 6066at5820           -            462    2e-234  776.9  53.5   1   2   4.8e-76   3.6e-73  245.2  19.0     1   189    26   243    26   249 0.89 | transcript=PVW1_120048900_t1 | gene=PVW1_120048900 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGZ3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGZ3] | location=CAJZCX010000004:1833960-1836136(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473553.1         -            543 6066at5820           -            462    2e-234  776.9  53.5   2   2  9.4e-165  7.2e-162  537.7  26.8   176   462   251   543   240   543 0.96 | transcript=PVW1_120048900_t1 | gene=PVW1_120048900 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGZ3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGZ3] | location=CAJZCX010000004:1833960-1836136(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479665.1         -            482 6066at5820           -            462   3.6e-38  129.9   5.2   1   3   8.5e-17   6.5e-14   49.9   0.1   316   437    22   137    16   157 0.81 | transcript=PVW1_050011400_t1 | gene=PVW1_050011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | transcript_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | location=CAJZCX010000010:315321-316887(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479665.1         -            482 6066at5820           -            462   3.6e-38  129.9   5.2   2   3   3.6e-08   2.8e-05   21.5   1.1    44   195    78   228    73   264 0.75 | transcript=PVW1_050011400_t1 | gene=PVW1_050011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | transcript_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | location=CAJZCX010000010:315321-316887(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479665.1         -            482 6066at5820           -            462   3.6e-38  129.9   5.2   3   3   2.8e-24   2.2e-21   74.6   0.0   289   432   318   454   309   478 0.83 | transcript=PVW1_050011400_t1 | gene=PVW1_050011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | transcript_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | location=CAJZCX010000010:315321-316887(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477069.1         -            424 6066at5820           -            462   1.6e-14   51.9  11.0   1   2   4.6e-06    0.0035   14.5   3.8   341   452    46   149    31   158 0.63 | transcript=PVW1_090039400_t1 | gene=PVW1_090039400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD87] | transcript_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD87] | location=CAJZCX010000007:1494636-1495910(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477069.1         -            424 6066at5820           -            462   1.6e-14   51.9  11.0   2   2   4.1e-14   3.1e-11   41.1   1.4   315   460   155   296   149   298 0.75 | transcript=PVW1_090039400_t1 | gene=PVW1_090039400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD87] | transcript_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD87] | location=CAJZCX010000007:1494636-1495910(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480558.1         -            518 6066at5820           -            462   1.9e-10   38.5   0.3   1   2      0.92     7e+02   -2.9   0.1    90    95   142   147    83   192 0.48 | transcript=PVW1_070024300_t1 | gene=PVW1_070024300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL0] | transcript_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL0] | location=CAJZCX010000011:876283-878205(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480558.1         -            518 6066at5820           -            462   1.9e-10   38.5   0.3   2   2   2.5e-13   1.9e-10   38.5   0.3   279   416   354   487   346   517 0.87 | transcript=PVW1_070024300_t1 | gene=PVW1_070024300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL0] | transcript_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL0] | location=CAJZCX010000011:876283-878205(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473744.1         -            104 6066at5820           -            462   1.4e-06   25.7   0.0   1   1     2e-09   1.5e-06   25.6   0.0   327   377     2    49     1   100 0.77 | transcript=PVW1_120064500_t1 | gene=PVW1_120064500 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Z2] | transcript_product=Thioredoxin [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Z2] | location=CAJZCX010000004:2496098-2496546(+) | protein_length=104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476648.1         -            549 6066at5820           -            462   3.9e-06   24.3  17.3   1   3   2.8e-06    0.0021   15.2   3.3   316   378   174   235   167   243 0.82 | transcript=PVW1_090014600_t1 | gene=PVW1_090014600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:508668-510317(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
