#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479321.1         -            168 13466at5820          -            130   3.3e-72  238.8   5.5   1   1   5.8e-75     7e-72  237.7   5.5    15   130    53   168    27   168 0.95 | transcript=PVW1_080041400_t1 | gene=PVW1_080041400 | organism=Plasmodium_vivax_PvW1 | gene_product=Glutaredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q962K5] | transcript_product=Glutaredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q962K5] | location=CAJZCX010000009:1565046-1565930(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478157.1         -            220 13466at5820          -            130   3.6e-29   99.6   0.1   1   1   4.7e-32   5.7e-29   98.9   0.1    33   129   118   213    95   214 0.92 | transcript=PVW1_110048000_t1 | gene=PVW1_110048000 | organism=Plasmodium_vivax_PvW1 | gene_product=Glutaredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0E7] | transcript_product=Glutaredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0E7] | location=CAJZCX010000008:1814225-1814887(+) | protein_length=220 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484827.1         -            333 13466at5820          -            130   1.6e-25   87.8   0.4   1   2       1.8   2.2e+03   -3.2   0.0    26    39    81    94    69   104 0.59 | transcript=PVW1_010013600_t1 | gene=PVW1_010013600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:425109-426110(-) | protein_length=333 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484827.1         -            333 13466at5820          -            130   1.6e-25   87.8   0.4   2   2   2.3e-28   2.8e-25   87.0   0.1    27   128   228   329   210   331 0.92 | transcript=PVW1_010013600_t1 | gene=PVW1_010013600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:425109-426110(-) | protein_length=333 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479298.1         -            110 13466at5820          -            130     2e-05   22.8   1.4   1   1     2e-08   2.5e-05   22.5   1.4    32   129     8   103     4   104 0.81 | transcript=PVW1_080039500_t1 | gene=PVW1_080039500 | organism=Plasmodium_vivax_PvW1 | gene_product=Glutaredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWT7] | transcript_product=Glutaredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWT7] | location=CAJZCX010000009:1489123-1490045(+) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474983.1         -            627 13466at5820          -            130       2.1    6.5   9.4   1   4      0.51   6.1e+02   -1.4   0.1    30    79    82   136    74   162 0.63 | transcript=PVW1_100046300_t1 | gene=PVW1_100046300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1849885-1851961(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474983.1         -            627 13466at5820          -            130       2.1    6.5   9.4   2   4   0.00025       0.3    9.3   0.5    68   112   180   224   177   232 0.94 | transcript=PVW1_100046300_t1 | gene=PVW1_100046300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1849885-1851961(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474983.1         -            627 13466at5820          -            130       2.1    6.5   9.4   3   4      0.93   1.1e+03   -2.3   0.0    81    97   253   269   227   283 0.62 | transcript=PVW1_100046300_t1 | gene=PVW1_100046300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1849885-1851961(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474983.1         -            627 13466at5820          -            130       2.1    6.5   9.4   4   4     0.091   1.1e+02    1.0   0.2    74   120   449   499   384   505 0.74 | transcript=PVW1_100046300_t1 | gene=PVW1_100046300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1849885-1851961(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13466at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13466at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13466at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:24 2026
# [ok]
