#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473683.1         -            326 9005at5820           -            283  4.7e-147  487.0  30.0   1   2   3.5e-05      0.02   12.4   0.2     1    19     1    19     1    25 0.92 | transcript=PVW1_120060200_t1 | gene=PVW1_120060200 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA3] | transcript_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA3] | location=CAJZCX010000004:2340636-2342146(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473683.1         -            326 9005at5820           -            283  4.7e-147  487.0  30.0   2   2  5.3e-147  2.9e-144  477.8  24.8    13   282    36   320    29   321 0.95 | transcript=PVW1_120060200_t1 | gene=PVW1_120060200 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA3] | transcript_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA3] | location=CAJZCX010000004:2340636-2342146(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481715.1         -            369 9005at5820           -            283   4.7e-53  178.5  71.4   1   5   1.2e-19   6.6e-17   59.9  10.3    21   100     8    89     2    91 0.88 | transcript=PVW1_060022800_t1 | gene=PVW1_060022800 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat-containing protein 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X9] | transcript_product=MORN repeat-containing protein 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X9] | location=CAJZCX010000012:738499-739608(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481715.1         -            369 9005at5820           -            283   4.7e-53  178.5  71.4   2   5   3.4e-14   1.9e-11   42.0  11.9    32    88    89   146    88   160 0.87 | transcript=PVW1_060022800_t1 | gene=PVW1_060022800 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat-containing protein 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X9] | transcript_product=MORN repeat-containing protein 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X9] | location=CAJZCX010000012:738499-739608(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481715.1         -            369 9005at5820           -            283   4.7e-53  178.5  71.4   3   5   1.5e-12   8.2e-10   36.6  15.1    26    98   156   230   149   232 0.90 | transcript=PVW1_060022800_t1 | gene=PVW1_060022800 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat-containing protein 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X9] | transcript_product=MORN repeat-containing protein 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X9] | location=CAJZCX010000012:738499-739608(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481715.1         -            369 9005at5820           -            283   4.7e-53  178.5  71.4   4   5     1e-10   5.7e-08   30.6   8.0    21    78   220   278   218   279 0.92 | transcript=PVW1_060022800_t1 | gene=PVW1_060022800 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat-containing protein 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X9] | transcript_product=MORN repeat-containing protein 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X9] | location=CAJZCX010000012:738499-739608(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481715.1         -            369 9005at5820           -            283   4.7e-53  178.5  71.4   5   5   1.4e-14   7.8e-12   43.3   7.6    36   110   259   336   258   342 0.91 | transcript=PVW1_060022800_t1 | gene=PVW1_060022800 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat-containing protein 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X9] | transcript_product=MORN repeat-containing protein 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X9] | location=CAJZCX010000012:738499-739608(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474987.1         -           1374 9005at5820           -            283   1.4e-15   55.6  30.0   1   2   1.2e-13   6.6e-11   40.2  22.2    43   201   827   995   814  1009 0.85 | transcript=PVW1_100046800_t1 | gene=PVW1_100046800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1899945-1904263(+) | protein_length=1374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474987.1         -           1374 9005at5820           -            283   1.4e-15   55.6  30.0   2   2   1.9e-06     0.001   16.6   0.9    42   100  1262  1320  1252  1344 0.79 | transcript=PVW1_100046800_t1 | gene=PVW1_100046800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1899945-1904263(+) | protein_length=1374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482742.1         -            191 9005at5820           -            283   1.8e-11   42.1  18.3   1   2   1.7e-07   9.3e-05   20.1   1.3    36    74    36    74    24    75 0.89 | transcript=PVW1_040026400_t1 | gene=PVW1_040026400 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8B9] | transcript_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8B9] | location=CAJZCX010000013:907678-908855(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482742.1         -            191 9005at5820           -            283   1.8e-11   42.1  18.3   2   2   9.1e-12     5e-09   34.1   9.7    39   144    62   168    61   181 0.83 | transcript=PVW1_040026400_t1 | gene=PVW1_040026400 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8B9] | transcript_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8B9] | location=CAJZCX010000013:907678-908855(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
