PvP01_01_v2	LT635612.2
PvP01_02_v2	LT635613.2
PvP01_03_v2	LT635614.2
PvP01_04_v2	LT635615.1
PvP01_05_v2	LT635616.2
PvP01_06_v2	LT635617.2
PvP01_07_v2	LT635618.2
PvP01_08_v2	LT635619.1
PvP01_09_v2	LT635620.2
PvP01_10_v2	LT635621.2
PvP01_11_v2	LT635622.1
PvP01_12_v2	LT635623.1
PvP01_13_v2	LT635624.2
PvP01_14_v2	LT635625.2
PvP01_API_v2	LT635626.1
PvP01_MIT_v2	LT635627.1
Transfer.PVP01_00_1.final	FLZR02000001.1
Transfer.PVP01_00_10.final	FLZR02000010.1
Transfer.PVP01_00_100.final	FLZR02000100.1
Transfer.PVP01_00_101.final	FLZR02000101.1
Transfer.PVP01_00_102.final	FLZR02000102.1
Transfer.PVP01_00_103.final	FLZR02000103.1
Transfer.PVP01_00_104.final	FLZR02000104.1
Transfer.PVP01_00_105.final	FLZR02000105.1
Transfer.PVP01_00_106.final	FLZR02000106.1
Transfer.PVP01_00_107.final	FLZR02000107.1
Transfer.PVP01_00_108.final	FLZR02000108.1
Transfer.PVP01_00_109.final	FLZR02000109.1
Transfer.PVP01_00_11.final	FLZR02000011.1
Transfer.PVP01_00_110.final	FLZR02000110.1
Transfer.PVP01_00_111.final	FLZR02000111.1
Transfer.PVP01_00_112.final	FLZR02000112.1
Transfer.PVP01_00_113.final	FLZR02000113.1
Transfer.PVP01_00_114.final	FLZR02000114.1
Transfer.PVP01_00_115.final	FLZR02000115.1
Transfer.PVP01_00_116.final	FLZR02000116.1
Transfer.PVP01_00_117.final	FLZR02000117.1
Transfer.PVP01_00_118.final	FLZR02000118.1
Transfer.PVP01_00_119.final	FLZR02000119.1
Transfer.PVP01_00_12.final	FLZR02000012.1
Transfer.PVP01_00_120.final	FLZR02000120.1
Transfer.PVP01_00_121.final	FLZR02000121.1
Transfer.PVP01_00_122.final	FLZR02000122.1
Transfer.PVP01_00_123.final	FLZR02000123.1
Transfer.PVP01_00_124.final	FLZR02000124.1
Transfer.PVP01_00_125.final	FLZR02000125.1
Transfer.PVP01_00_126.final	FLZR02000126.1
Transfer.PVP01_00_127.final	FLZR02000127.1
Transfer.PVP01_00_128.final	FLZR02000128.1
Transfer.PVP01_00_129.final	FLZR02000129.1
Transfer.PVP01_00_13.final	FLZR02000013.1
Transfer.PVP01_00_130.final	FLZR02000130.1
Transfer.PVP01_00_131.final	FLZR02000131.1
Transfer.PVP01_00_132.final	FLZR02000132.1
Transfer.PVP01_00_133.final	FLZR02000133.1
Transfer.PVP01_00_134.final	FLZR02000134.1
Transfer.PVP01_00_135.final	FLZR02000135.1
Transfer.PVP01_00_136.final	FLZR02000136.1
Transfer.PVP01_00_137.final	FLZR02000137.1
Transfer.PVP01_00_138.final	FLZR02000138.1
Transfer.PVP01_00_139.final	FLZR02000139.1
Transfer.PVP01_00_14.final	FLZR02000014.1
Transfer.PVP01_00_140.final	FLZR02000140.1
Transfer.PVP01_00_141.final	FLZR02000141.1
Transfer.PVP01_00_142.final	FLZR02000142.1
Transfer.PVP01_00_143.final	FLZR02000143.1
Transfer.PVP01_00_144.final	FLZR02000144.1
Transfer.PVP01_00_145.final	FLZR02000145.1
Transfer.PVP01_00_146.final	FLZR02000146.1
Transfer.PVP01_00_147.final	FLZR02000147.1
Transfer.PVP01_00_148.final	FLZR02000148.1
Transfer.PVP01_00_149.final	FLZR02000149.1
Transfer.PVP01_00_15.final	FLZR02000015.1
Transfer.PVP01_00_150.final	FLZR02000150.1
Transfer.PVP01_00_151.final	FLZR02000151.1
Transfer.PVP01_00_152.final	FLZR02000152.1
Transfer.PVP01_00_153.final	FLZR02000153.1
Transfer.PVP01_00_154.final	FLZR02000154.1
Transfer.PVP01_00_155.final	FLZR02000155.1
Transfer.PVP01_00_156.final	FLZR02000156.1
Transfer.PVP01_00_157.final	FLZR02000157.1
Transfer.PVP01_00_158.final	FLZR02000158.1
Transfer.PVP01_00_159.final	FLZR02000159.1
Transfer.PVP01_00_16.final	FLZR02000016.1
Transfer.PVP01_00_160.final	FLZR02000160.1
Transfer.PVP01_00_161.final	FLZR02000161.1
Transfer.PVP01_00_162.final	FLZR02000162.1
